Action1,S2,Action2,Re,subject,round,rt2
2,3,1,-3,173,1,0
1,2,2,2,173,2,0
1,2,2,3,173,3,1
1,2,2,2,173,4,0
1,3,1,-3,173,5,1
1,2,2,2,173,6,1
1,2,2,3,173,7,0
1,2,2,3,173,8,1
1,2,2,3,173,9,0
1,2,2,3,173,10,1
1,2,2,2,173,11,1
1,3,2,0,173,12,0
1,3,2,1,173,13,0
1,2,2,2,173,14,1
1,2,2,2,173,15,1
2,3,2,-1,173,16,0
1,2,2,2,173,17,0
1,2,2,3,173,18,1
2,3,2,-1,173,19,0
1,2,2,4,173,20,0
1,2,1,3,173,21,1
1,2,2,3,173,22,1
1,3,2,-1,173,23,0
1,2,1,3,173,24,1
2,3,2,-1,173,25,1
1,2,2,-1,173,26,0
1,2,1,3,173,27,0
1,2,2,2,173,28,1
1,3,1,0,173,29,0
1,2,1,5,173,30,1
1,2,1,3,173,31,1
1,3,2,-4,173,32,1
1,3,1,-4,173,33,0
1,2,1,3,173,34,0
2,3,1,1,173,35,0
2,3,1,4,173,36,1
2,3,1,3,173,37,0
1,2,1,3,173,38,1
1,3,2,1,173,39,1
1,2,1,-4,173,40,1
2,3,1,4,173,41,1
1,2,1,0,173,42,1
2,3,2,2,173,43,1
2,3,1,3,173,44,0
1,2,1,0,173,45,0
1,2,1,-1,173,46,1
2,3,1,1,173,47,0
2,3,2,-2,173,48,1
2,2,1,0,173,49,0
2,3,1,2,173,50,0
2,3,1,1,173,51,1
2,3,1,4,173,52,1
1,3,2,4,173,53,0
2,3,1,4,173,54,0
2,3,2,1,173,55,1
2,3,1,2,173,56,1
1,3,2,2,173,57,0
2,2,1,1,173,58,0
1,2,2,-3,173,59,1
2,3,1,2,173,60,0
1,2,2,-4,173,61,1
2,3,1,1,173,62,1
1,2,1,2,173,63,0
2,3,2,4,173,64,1
2,3,1,-3,173,65,0
2,2,2,-4,173,66,1
2,3,1,-2,173,67,1
2,3,2,5,173,68,0
1,2,1,-1,173,69,1
2,3,2,3,173,70,0
2,3,2,3,173,71,1
2,3,2,2,173,72,1
2,3,2,2,173,73,0
2,2,1,-3,173,74,1
2,3,2,2,173,75,1
2,3,1,3,173,76,1
2,2,1,-4,173,77,0
2,2,2,2,173,78,1
2,3,2,3,173,79,0
2,3,1,3,173,80,1
2,3,1,-1,173,81,0
2,3,2,-3,173,82,1
2,3,2,-4,173,83,1
1,2,1,5,173,84,1
1,3,1,0,173,85,0
2,3,1,0,173,86,0
1,3,1,4,173,87,1
2,3,1,4,173,88,1
1,2,1,5,173,89,0
2,3,1,1,173,90,0
1,2,1,2,173,91,0
1,2,1,1,173,92,1
2,3,1,3,173,93,0
2,3,1,3,173,94,0
2,3,1,2,173,95,1
2,3,1,2,173,96,0
2,3,1,4,173,97,0
1,2,2,-3,173,98,0
2,3,1,3,173,99,1
1,2,1,5,173,100,1
1,2,1,4,173,101,0
2,3,1,2,173,102,1
1,2,1,3,173,103,1
2,3,1,3,173,104,1
1,2,1,-1,173,105,1
1,2,1,-1,173,106,0
2,3,1,0,173,107,1
1,2,1,-2,173,108,0
2,3,2,0,173,109,1
2,3,1,-2,173,110,0
2,3,2,2,173,111,0
1,3,2,-1,173,112,0
2,3,2,-1,173,113,0
1,3,1,-1,173,114,0
2,3,2,0,173,115,1
1,2,1,-2,173,116,1
2,2,1,-3,173,117,0
1,2,1,-4,173,118,0
2,2,2,-4,173,119,0
2,3,2,1,173,120,1
2,3,1,0,173,121,0
1,2,1,-5,173,122,1
1,2,2,-5,173,123,0
2,3,1,4,173,124,1
2,3,1,4,173,125,0
2,3,2,2,39,1,1
2,2,2,2,39,2,1
2,3,2,0,39,3,0
1,2,2,2,39,4,0
1,3,2,0,39,5,1
1,2,2,2,39,6,0
1,2,2,2,39,7,0
2,3,2,-2,39,8,0
2,3,2,-4,39,9,0
2,3,2,-3,39,10,1
2,2,2,1,39,11,1
2,3,2,-4,39,12,0
1,2,2,0,39,13,0
1,2,1,-3,39,14,1
2,2,2,-5,39,15,0
1,3,1,1,39,16,1
1,2,2,-2,39,17,0
1,2,1,-2,39,18,0
2,3,2,0,39,19,1
1,2,1,-3,39,20,0
1,2,2,-2,39,21,0
1,2,1,-2,39,22,0
1,2,2,-2,39,23,0
1,3,1,-2,39,24,1
2,3,1,-3,39,25,0
1,2,2,-2,39,26,0
2,3,1,-2,39,27,0
2,3,1,-2,39,28,0
2,2,2,-4,39,29,1
2,3,2,-4,39,30,0
1,2,2,-1,39,31,0
1,3,1,-4,39,32,1
1,2,2,-3,39,33,0
1,2,1,3,39,34,1
1,2,1,4,39,35,0
1,2,2,-4,39,36,1
1,2,1,3,39,37,0
1,3,1,0,39,38,0
1,2,1,2,39,39,1
1,3,2,-2,39,40,1
2,3,2,-2,39,41,1
2,3,1,3,39,42,0
2,3,1,4,39,43,0
1,2,1,1,39,44,0
2,3,1,3,39,45,1
2,2,1,3,39,46,1
1,2,1,2,39,47,0
1,2,1,0,39,48,1
2,3,1,4,39,49,0
1,3,1,2,39,50,0
1,2,1,-1,39,51,0
1,2,1,0,39,52,1
1,3,1,2,39,53,1
2,3,1,3,39,54,1
1,2,1,0,39,55,1
2,3,2,-3,39,56,1
2,3,2,-4,39,57,0
2,3,1,1,39,58,0
2,3,1,-1,39,59,0
1,2,2,-1,39,60,1
2,3,1,0,39,61,0
2,3,2,-1,39,62,0
2,3,1,-4,39,63,1
2,2,1,0,39,64,0
1,2,1,-3,39,65,0
1,3,1,-4,39,66,0
1,2,1,-3,39,67,1
1,2,2,-2,39,68,1
2,2,1,-1,39,69,0
2,3,1,-2,39,70,1
2,3,2,-4,39,71,1
2,3,1,0,39,72,1
1,2,1,1,39,73,0
2,3,1,0,39,74,1
1,2,2,3,39,75,0
2,3,1,-4,39,76,1
2,3,2,2,39,77,0
1,2,1,2,39,78,0
1,2,2,-1,39,79,1
2,3,2,1,39,80,1
1,2,2,-4,39,81,0
1,2,1,5,39,82,1
1,2,1,2,39,83,0
2,3,1,2,39,84,0
2,3,2,-5,39,85,1
1,2,1,2,39,86,0
1,2,2,0,39,87,1
2,3,1,1,39,88,0
2,2,1,1,39,89,1
2,3,1,1,39,90,0
2,3,2,1,39,91,1
2,3,2,-1,39,92,0
1,2,1,5,39,93,1
2,3,2,-1,39,94,0
2,3,2,-2,39,95,0
1,2,1,1,39,96,1
2,3,1,4,39,97,1
2,2,2,1,39,98,1
1,2,1,3,39,99,0
1,2,1,5,39,100,0
1,2,1,5,39,101,1
1,3,1,2,39,102,0
1,2,2,3,39,103,0
1,2,1,3,39,104,1
2,3,1,4,39,105,0
1,2,1,4,39,106,1
1,2,1,1,39,107,0
2,3,1,-1,39,108,1
1,2,2,5,39,109,0
1,3,1,-3,39,110,1
1,2,1,2,39,111,0
2,2,2,-3,39,112,1
2,3,1,1,39,113,0
2,3,1,2,39,114,1
2,3,1,3,39,115,0
1,2,1,2,39,116,0
2,3,1,4,39,117,1
2,3,2,0,39,118,0
2,3,1,2,39,119,1
1,2,2,0,39,120,1
2,2,2,0,39,121,0
1,2,1,0,39,122,0
2,2,1,2,39,123,0
2,3,1,-3,39,124,0
2,3,2,-2,39,125,0
2,3,1,2,289,1,0
2,3,1,1,289,2,1
2,3,1,2,289,3,1
2,3,1,2,289,4,0
2,3,1,1,289,5,1
2,3,2,2,289,6,1
1,2,1,5,289,7,1
1,2,1,5,289,8,0
2,3,1,2,289,9,0
1,3,1,1,289,10,0
2,2,2,-3,289,11,1
2,3,1,4,289,12,1
2,3,1,4,289,13,0
1,2,2,-5,289,14,1
2,3,1,2,289,15,1
2,3,1,4,289,16,0
2,3,2,1,289,17,1
2,2,1,5,289,18,0
1,2,2,-4,289,19,1
1,3,1,-1,289,20,0
1,2,2,-2,289,21,1
1,2,1,-4,289,22,0
1,2,2,-1,289,23,1
2,3,2,-2,289,24,1
1,2,2,1,289,25,0
2,2,1,-1,289,26,0
1,2,2,1,289,27,1
2,3,1,-1,289,28,1
1,3,2,-3,289,29,0
2,2,1,-2,289,30,1
2,3,2,-4,289,31,1
1,2,1,-2,289,32,0
1,2,1,-1,289,33,1
2,3,2,-3,289,34,1
2,3,1,-3,289,35,1
2,2,1,2,289,36,0
2,3,2,-4,289,37,1
2,2,2,3,289,38,0
2,3,1,-1,289,39,0
2,3,2,-2,289,40,1
1,2,2,4,289,41,0
2,3,2,2,289,42,0
1,3,1,-1,289,43,1
1,2,1,-5,289,44,0
1,2,2,2,289,45,1
1,2,1,-3,289,46,1
2,3,1,-3,289,47,0
1,2,2,3,289,48,0
1,2,1,-3,289,49,1
2,3,2,4,289,50,1
2,3,2,1,289,51,0
1,3,1,2,289,52,1
1,2,2,1,289,53,1
2,3,1,2,289,54,1
1,2,2,2,289,55,1
1,2,1,2,289,56,0
1,3,1,4,289,57,1
2,2,2,0,289,58,1
2,2,1,3,289,59,1
1,2,2,-1,289,60,1
2,3,2,1,289,61,0
1,2,1,5,289,62,0
2,3,2,1,289,63,0
1,2,1,5,289,64,1
2,3,1,-4,289,65,0
2,2,2,0,289,66,0
1,2,1,1,289,67,1
1,2,2,3,289,68,0
1,2,1,0,289,69,1
2,3,1,-4,289,70,0
2,3,2,5,289,71,0
1,2,1,-4,289,72,0
1,2,2,-2,289,73,0
2,3,2,3,289,74,1
1,2,2,-2,289,75,0
1,2,1,-2,289,76,1
2,3,2,4,289,77,1
1,3,2,4,289,78,0
2,3,2,2,289,79,0
1,3,2,3,289,80,0
1,2,1,3,289,81,1
1,3,1,4,289,82,0
1,2,2,-4,289,83,1
1,2,1,1,289,84,0
2,3,1,5,289,85,0
1,2,1,1,289,86,0
2,3,2,-1,289,87,1
1,3,1,0,289,88,1
2,3,2,3,289,89,0
2,2,2,-5,289,90,1
1,2,1,5,289,91,1
2,3,1,-1,289,92,0
2,2,2,-4,289,93,1
1,2,1,3,289,94,0
1,2,2,-3,289,95,1
2,3,2,5,289,96,0
2,2,1,4,289,97,1
1,2,2,-4,289,98,1
2,3,2,2,289,99,0
1,2,1,1,289,100,0
2,3,2,3,289,101,1
2,3,2,4,289,102,0
1,2,1,1,289,103,1
2,3,2,3,289,104,1
1,2,1,-1,289,105,1
2,3,1,3,289,106,1
1,2,1,-5,289,107,0
2,3,2,5,289,108,1
2,3,1,4,289,109,0
1,2,2,1,289,110,0
2,2,1,-4,289,111,0
1,2,1,-5,289,112,0
2,3,2,0,289,113,1
1,2,1,-4,289,114,0
2,3,2,3,289,115,1
1,2,2,-1,289,116,0
2,3,1,4,289,117,1
1,2,2,-3,289,118,1
2,3,1,2,289,119,1
2,2,1,2,289,120,0
2,3,1,5,289,121,0
1,2,1,2,289,122,0
2,3,2,-2,289,123,0
2,3,1,3,289,124,0
2,3,1,3,289,125,1
2,3,1,0,378,1,0
2,3,1,1,378,2,1
2,3,1,1,378,3,0
2,3,1,5,378,4,1
2,2,1,4,378,5,0
2,3,1,1,378,6,0
1,2,1,5,378,7,1
1,3,1,4,378,8,0
1,2,1,3,378,9,1
2,3,1,-1,378,10,0
1,3,1,3,378,11,0
1,2,1,2,378,12,1
1,2,1,0,378,13,1
1,2,1,-1,378,14,1
1,2,2,-2,378,15,1
2,3,1,-1,378,16,1
1,2,1,-4,378,17,0
2,3,1,-2,378,18,0
2,3,1,-3,378,19,1
2,3,2,3,378,20,1
2,3,2,4,378,21,0
2,3,2,4,378,22,0
1,2,1,-1,378,23,0
1,3,2,5,378,24,0
2,3,2,4,378,25,1
2,2,2,0,378,26,0
1,2,2,0,378,27,0
2,3,2,4,378,28,0
2,3,2,3,378,29,0
2,3,2,1,378,30,1
2,2,2,2,378,31,1
1,2,2,2,378,32,0
1,2,2,3,378,33,0
1,3,2,3,378,34,1
1,2,2,1,378,35,1
1,2,2,0,378,36,1
2,3,2,5,378,37,0
2,3,2,3,378,38,1
1,2,2,2,378,39,0
2,2,2,3,378,40,1
1,2,2,4,378,41,0
2,3,2,-2,378,42,1
1,2,2,3,378,43,1
2,3,1,4,378,44,0
1,2,1,-3,378,45,1
2,3,2,0,378,46,1
1,2,2,4,378,47,0
1,2,2,3,378,48,1
1,2,2,2,378,49,1
1,2,1,-4,378,50,1
1,2,2,3,378,51,0
2,2,2,4,378,52,0
2,2,2,5,378,53,1
1,2,2,4,378,54,0
1,2,2,3,378,55,1
1,2,2,3,378,56,1
2,3,1,4,378,57,0
2,3,2,2,378,58,0
2,2,1,4,378,59,0
2,3,2,-2,378,60,1
2,3,1,1,378,61,0
1,2,2,2,378,62,0
2,3,2,0,378,63,0
1,2,1,-3,378,64,0
2,3,1,0,378,65,1
2,2,2,-1,378,66,1
2,3,1,0,378,67,0
1,3,2,5,378,68,1
2,3,2,5,378,69,0
2,3,1,5,378,70,0
1,2,2,1,378,71,0
2,2,2,1,378,72,0
2,3,2,3,378,73,0
1,2,2,0,378,74,0
2,3,2,5,378,75,0
2,3,1,2,378,76,0
2,3,2,-1,378,77,0
2,3,1,2,378,78,0
2,3,1,4,378,79,1
2,3,1,1,378,80,1
2,3,1,0,378,81,0
2,3,1,-2,378,82,0
1,2,1,-4,378,83,1
1,2,1,-4,378,84,1
2,3,2,-1,378,85,0
2,3,1,-1,378,86,0
1,2,2,0,378,87,0
2,3,2,1,378,88,0
2,3,2,1,378,89,0
2,3,2,1,378,90,0
1,2,2,3,378,91,1
1,2,2,3,378,92,1
1,2,2,3,378,93,0
2,2,2,3,378,94,0
2,3,1,4,378,95,1
