Action1,S2,Action2,Re,subject,round,rt2
2,3,1,4,126,1,1
2,3,2,-5,126,2,1
1,2,2,2,126,3,0
2,3,1,2,126,4,0
2,3,1,2,126,5,0
1,2,2,4,126,6,1
2,2,1,-1,126,7,0
2,2,2,5,126,8,1
2,3,1,3,126,9,1
1,2,1,-4,126,10,1
2,3,1,2,126,11,1
1,2,2,5,126,12,1
2,2,2,0,126,13,1
2,2,1,-5,126,14,0
2,3,1,-1,126,15,1
1,2,2,-5,126,16,1
1,2,2,-4,126,17,0
2,3,1,1,126,18,0
2,3,1,-1,126,19,1
2,3,2,2,126,20,0
2,3,1,-1,126,21,0
2,3,2,4,126,22,1
2,2,1,5,126,23,0
2,3,1,-1,126,24,1
2,3,2,0,126,25,0
2,2,2,-1,126,26,1
2,3,2,0,126,27,1
2,3,2,0,126,28,1
1,2,1,-2,126,29,1
2,3,2,-2,126,30,1
1,2,2,1,126,31,0
1,2,1,2,126,32,1
2,2,1,-1,126,33,1
1,2,1,0,126,34,0
2,3,2,4,126,35,1
2,3,1,1,126,36,0
2,3,2,4,126,37,1
2,3,2,4,126,38,1
2,2,1,2,126,39,1
2,3,1,-1,126,40,1
2,3,2,5,126,41,1
2,3,2,4,126,42,1
2,3,2,4,126,43,1
1,2,1,-5,126,44,0
1,2,2,3,126,45,1
1,2,2,4,126,46,1
2,3,2,3,126,47,1
1,3,1,-3,126,48,0
2,3,2,3,126,49,0
1,2,2,4,126,50,1
1,2,2,4,126,51,1
2,3,2,1,126,52,1
2,3,1,-3,126,53,1
2,3,2,-3,126,54,1
1,2,2,-3,126,55,1
1,2,2,-3,126,56,1
2,2,2,-3,126,57,1
2,2,2,-3,126,58,1
2,2,1,-3,126,59,0
2,3,2,-4,126,60,1
2,3,2,-5,126,61,1
2,3,1,5,126,62,1
2,3,2,-1,126,63,1
2,3,2,-4,126,64,0
2,3,1,4,126,65,0
1,2,1,1,126,66,0
1,2,1,1,126,67,1
2,3,2,-4,126,68,1
2,3,2,-5,126,69,0
2,3,1,2,126,70,1
2,3,2,-3,126,71,1
2,3,1,-1,126,72,1
2,3,1,2,126,73,1
2,3,2,-1,126,74,1
1,2,2,-2,126,75,0
2,2,2,-4,126,76,0
2,3,2,1,126,77,1
2,3,2,2,126,78,1
2,2,1,-5,126,79,1
2,2,1,-5,126,80,1
2,3,1,1,126,81,1
2,3,2,2,126,82,1
2,3,2,0,126,83,1
1,2,1,-5,126,84,0
2,3,2,3,126,85,0
2,3,2,1,126,86,1
2,3,2,0,126,87,1
1,2,1,-4,126,88,0
1,2,2,-4,126,89,1
1,2,1,-3,126,90,0
2,3,2,-2,126,91,1
