"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","stamp"
"A5R2QJKK4Z23V","dez_2step_v1","30","f","1.065","3VHHR074H4ONNONGDV0MR3CP0FVL7G","1191323","137992","2016-08-01 14:59:25"
"A2I960JYUZ8KAV","dez_2step_v1","24","m","1.37","3GLB5JMZFY2NI5APTH6SE3HDQ9CDGV","1047055","94104","2016-08-01 15:01:17"
"A15V8K8M4TXT9Y","dez_2step_v1","30","m","1.525","3L70J4KAZHTM8EXM7HEIIH6ASEZDAJ","1116706","108632","2016-08-01 15:03:24"
"A19C6T7B0H4PAQ","dez_2step_v1","28","m","0.44","3VAR3R6G1Q8ZTNVW0S8KXKCE6468O7","959625","23887","2016-08-01 15:04:10"
"A2WH3GIS2KF8LU","dez_2step_v1","32","m","0.825","3RU7GD8VPP0ZX7M6TQR43BH5S39SP8","1097053","99822","2016-08-01 15:04:27"
"A1AO1LLP3INAZF","dez_2step_v1","30","f","1.665","3RRCEFRB7NJERSJLKKDLAOWAXJRB4Z","1001426","83745","2016-08-01 15:04:35"
"AWH1ADU3OJMMK","dez_2step_v1","29","f","1.28","3F1567XTNXC2S4RMKX62ML2P5B6Q9M","1059746","93271","2016-08-01 15:05:02"
"A1LRJ2MQD4AMES","dez_2step_v1","33","m","0","3E13VNJ1NO27M1083CM0YDTKGP1I12","2831646","1688242","2016-08-01 15:06:05"
"A1OSRAPSRT934Z","dez_2step_v1","27","f","1.12","3FE7TXL1LJURSK6NZORNCYUBZ5WQ2U","1154199","118592","2016-08-01 15:06:18"
"AV22FQTJNBUZT","dez_2step_v1","36","f","1.47","3X4JMASXCNGXS41K1JQJYL6XG7BB0J","1077663","77794","2016-08-01 15:07:22"
"A1AQK667NBERJ1","dez_2step_v1","34","m","1.075","3II4UPYCOKEEVU43WDB48HLFWWLQD3","963304","60114","2016-08-01 15:08:40"
"A2LVPGEPC1EUOW","dez_2step_v1","36","m","1.185","3ZOTGHDK5JIHC7A5EQEPEBCFIYDSOR","1298670","313646","2016-08-01 15:09:55"
"A2ZDK0Y5466BXN","dez_2step_v1","46","f","1.16","3FFJ6VRIL2V7FCFQ7TI0K8AABXVI0Z","1885850","730955","2016-08-01 15:11:21"
"A18BNI2SCP2VEC","dez_2step_v1","33","m","0","35K3O9HUACKMWBSUESBU20ZMP6DFER","1443526","183384","2016-08-01 15:14:29"
"A3EBUBRYCKB6AF","dez_2step_v1","27","m","0","3WSELTNVR49TP3TJT7EXNLOWV0NATZ","1055008","61374","2016-08-01 15:14:56"
"A21ZMR7O42OSMI\n","dez_2step_v1","35","f","0.925","3P529IW9KZS02H2MVEYYFVP6Y3ELFK","1172084","143775","2016-08-01 15:15:28"
"A1F34ZP6YNI98F","dez_2step_v1","30","f","0.725","3HOSI13XH0VK6L0YRR5K8IEGDHWDDL","1310431","147764","2016-08-01 15:16:18"
"A2WJGI7XNUBRND","dez_2step_v1","50","m","1.26","3U0SRXB7CECNT7AGYME79C7E6MPNRJ","1103581","138269","2016-08-01 15:21:38"
"A1EQ2HDHF2WWSY","dez_2step_v1","28","f","0.27","323Q6SJS8JNYGLJW4TJ0N3WZHM5FH7","1277457","86908","2016-08-01 15:21:39"
"A248ARSA6FS20S","dez_2step_v1","55","m","0.81","3LEP4MGT3H7RRO2EDVEEDSQGAWKDBE","1282094","242707","2016-08-01 15:24:45"
"A2Q415U16FGZ2Q","dez_2step_v1","20","m","0.58","3NG53N1RLWQHEN7XFSLZMKH4G928PO","1035993","62038","2016-08-01 15:27:02"
"ACVJ6IUO9QM4R","dez_2step_v1","33","f","0.94","3QHK8ZVMINPAP0Q6QCC2W5YLJ5MLB2","989077","35365","2016-08-01 15:29:46"
"AOW8XHXW76DSF","dez_2step_v1","24","m","1.245","3M1CVSFP61CGXN1RC3K2IGD9BTOAQL","1202666","187102","2016-08-01 15:34:39"
"A1GMVCWXQPG8ZR","dez_2step_v1","29","m","0.94","333U7HK6IAMX970Q1NRVBG9TI1TDJZ","1516163","87004","2016-08-01 15:38:49"
"A3OSOSJF0NZBSE","dez_2step_v1","40","m","1.215","3WMINLGALCAC3MR87LJ7YBOS7EOACH","1442079","113674","2016-08-01 15:40:03"
"A3B7TNVOISSZ2O","dez_2step_v1","37","m","1.73","3FPRZHYEPZE8IAYNPNZ21VYBMBBV34","1016841","84339","2016-08-01 15:40:35"
"AZDRKFTM4LARP","dez_2step_v1","28","m","0.49","3WYGZ5XF3XMYMGPQGYMW7UV6YT3SK7","1121518","126430","2016-08-01 15:43:55"
"A3RHGIM99R25Q9","dez_2step_v1","28","m","0.76","392CY0QWG2YOE0XRQU52WB0NS9BI4F","1685574","657456","2016-08-01 15:48:43"
"A16DQUZ8SV9IBM","dez_2step_v1","35","f","0.54","3R3YRB5GRGA8PG88TC47SHAYEEUAUQ","1258051","182190","2016-08-01 15:50:33"
"A2JCK494NV7TFX","dez_2step_v1","34","m","0.6","326O153BMJ5PYREYNMG4E0W1DTXDEE","1273595","67522","2016-08-01 15:54:45"
"AC5UD8N187QD6","dez_2step_v1","45","m","0.78","3YZ8UPK3VUTWIV56DQ0YYC0MEHGCUV","1059476","71867","2016-08-01 16:09:59"
"A3LGFYY3D0Y85X","dez_2step_v1","24","m","1.02","3300DTYQT3OJN0I3S8MOEZ30W8MQEW","1393945","1046370","2016-08-01 16:10:11"
"ATMQRDBW7WM1Z","dez_2step_v1","22","m","0.68","36W0OB37HXL4L2AW55D7QVCHTRZHZX","1087481","81576","2016-08-01 16:12:59"
"ACCXC5V05C9R9","dez_2step_v1","43","f","0.35","3TXMY6UCAFV4Q2YPWHGTOB3XBW9QC3","1351025","88182","2016-08-01 16:14:00"
"A99PQSI7FTY50","dez_2step_v1","26","m","0.92","3IFS6Q0HJJQ7GLZ2GV1KUEGT6PESIW","1044010","100713","2016-08-01 16:19:12"
"AROOCBM042SJD","dez_2step_v1","31","f","0","3TU5ZICBRE82EZ8CF50OMP7EL5OQ8X","1358246","174815","2016-08-01 16:21:25"
"A3UV9UAE6MP36J\nA3UV9UAE6MP36J\n","dez_2step_v1","50","f","0","3EQHHY4HQTZSESVWEBO9GRTLDSGG5S","1390527","192040","2016-08-01 16:32:50"
"A1EMMTSHSQFI6\n","dez_2step_v1","43","f","0.22","3MRNMEIQW6D34XOQ4838RVMLMQYLD9","1428153","217562","2016-08-01 16:36:45"
"A3UVW94KB9UBAJ","dez_2step_v1","32","f","0.94","3QFUFYSY9ZM449V1PMZHTENVCHNF4P","1270456","76973","2016-08-01 16:59:20"
"A1FTPVV8F8GWXN","dez_2step_v1","32","f","1.285","3X65QVEQI1UTZ5IC4C8X7P431QMLC9","1152335","164578","2016-08-01 16:59:31"
"A3H48TMCITL94X\n","dez_2step_v1","30","f","0.845","3ITXP059PXQ3BWJ8YDMK6FVTJ43SJ8","1036883","89334","2016-08-01 17:08:21"
"A1V1JNPU0KOA3X","dez_2step_v1","50","m","0.685","3R2UR8A0IBNP8OW480KCDJT7XDIOXY","1329141","191945","2016-08-01 17:35:49"
"AYYSG3O9FNU15","dez_2step_v1","29","m","0.77","3VBEN272ML6TKUT7Q71H923DRCMSG4","3148248","702899","2016-08-01 17:39:42"
"A37C9M7J88EWEB","dez_2step_v1","42","f","0.945","31N2WW6R9SXJMDCXP8UYJ9VPYHRF34","1500674","172340","2016-08-01 18:12:05"
"A2HW7P4XQ35PUB","dez_2step_v1","29","m","0.8","3300DTYQT3OJN0I3S8MOEZ30W8MQEW","4019480","1940377","2016-08-01 19:33:18"
