Action1,S2,Action2,Re,subject,round,rt2
1,2,1,1,453,1,1
2,3,2,2,453,2,1
1,4,1,3,453,3,1
2,3,2,3,453,4,1
2,3,1,3,453,5,1
1,4,2,3,453,6,1
2,4,1,4,453,7,1
2,4,2,3,453,8,1
2,4,1,4,453,9,1
2,3,2,4,453,10,1
1,4,1,2,453,11,1
2,4,1,2,453,12,1
1,4,2,3,453,13,1
2,4,1,3,453,14,1
1,2,1,2,453,15,1
2,4,2,3,453,16,1
1,2,1,-1,453,17,1
2,4,2,3,453,18,1
1,2,1,-2,453,19,1
2,3,2,-3,453,20,1
1,2,1,1,453,21,1
2,4,2,0,453,22,1
1,2,1,2,453,23,1
2,4,1,-1,453,24,1
1,2,2,-2,453,25,1
1,2,1,2,453,26,1
2,4,2,-3,453,27,1
1,2,1,2,453,28,1
2,4,1,-4,453,29,1
1,2,2,0,453,30,1
1,2,1,1,453,31,1
2,3,2,-2,453,32,1
1,2,1,1,453,33,1
2,3,2,-3,453,34,1
1,2,2,-1,453,35,1
2,4,1,2,453,36,1
1,2,2,-4,453,37,1
2,4,1,2,453,38,1
1,2,2,-5,453,39,1
2,4,1,4,453,40,1
1,2,2,-4,453,41,1
2,4,1,1,453,42,1
1,2,1,-1,453,43,1
2,4,2,4,453,44,1
2,4,2,4,453,45,1
2,4,1,3,453,46,1
1,2,2,3,453,47,1
1,2,1,2,453,48,1
2,4,2,4,453,49,1
1,2,2,3,453,50,1
2,4,1,2,453,51,1
1,2,2,3,453,52,1
2,4,1,4,453,53,1
1,2,2,5,453,54,1
1,2,1,4,453,55,1
2,4,2,5,453,56,1
2,4,1,4,453,57,1
1,2,2,4,453,58,1
2,4,1,3,453,59,1
1,2,1,1,453,60,1
2,4,2,2,453,61,1
1,4,1,-1,453,62,1
2,4,1,-1,453,63,1
1,4,1,-4,453,64,1
1,2,2,1,453,65,1
2,3,1,-4,453,66,1
1,4,2,1,453,67,1
2,3,1,-5,453,68,1
1,4,2,-1,453,69,1
1,4,1,1,453,70,1
1,4,1,-1,453,71,1
2,3,2,-4,453,72,1
1,4,1,-2,453,73,1
2,4,2,-4,453,74,1
1,4,1,-4,453,75,1
2,3,2,-4,453,76,1
1,4,1,-2,453,77,1
1,4,2,0,453,78,1
2,4,1,1,453,79,1
1,4,2,3,453,80,1
2,4,1,4,453,81,1
1,4,1,4,453,82,1
2,3,2,-4,453,83,1
1,4,1,4,453,84,1
2,3,2,0,453,85,1
1,4,2,4,453,86,1
1,4,1,0,453,87,1
2,3,2,-4,453,88,1
1,4,1,1,453,89,1
2,3,2,-1,453,90,1
1,4,2,2,453,91,1
2,4,1,3,453,92,1
2,4,2,3,453,93,1
1,4,1,0,453,94,1
1,4,2,-3,453,95,1
2,4,1,0,453,96,1
1,4,2,0,453,97,1
2,4,2,-1,453,98,1
1,2,1,2,453,99,1
1,2,2,-2,453,100,1
1,2,1,2,453,101,1
2,4,2,2,453,102,1
1,2,1,4,453,103,1
2,4,2,4,453,104,1
1,2,1,4,453,105,1
2,4,2,5,453,106,1
1,2,1,3,453,107,1
2,4,2,3,453,108,1
2,4,1,4,453,109,1
1,2,1,3,453,110,1
1,4,2,2,453,111,1
2,4,1,1,453,112,1
1,2,1,3,453,113,1
2,4,2,5,453,114,1
1,2,1,0,453,115,1
2,4,2,5,453,116,1
1,2,1,2,453,117,1
2,4,2,2,453,118,1
2,3,1,0,453,119,1
1,2,2,-5,453,120,1
2,4,1,3,453,121,1
1,2,2,-1,453,122,1
2,3,2,-5,453,123,1
1,2,1,0,453,124,1
2,4,2,5,453,125,1
1,2,1,0,46,1,1
2,3,2,5,46,2,1
1,2,1,1,46,3,1
1,2,1,4,46,4,1
1,2,1,3,46,5,1
2,4,1,-1,46,6,1
1,2,1,-1,46,7,1
2,3,2,4,46,8,1
1,2,1,-4,46,9,1
2,3,2,5,46,10,1
2,3,2,3,46,11,1
2,3,2,1,46,12,1
2,3,2,-2,46,13,1
1,2,2,-3,46,14,1
2,3,2,-2,46,15,1
2,3,1,4,46,16,1
1,2,2,-1,46,17,1
2,3,1,4,46,18,1
1,2,2,0,46,19,1
2,4,2,-1,46,20,1
2,3,1,4,46,21,1
2,3,1,4,46,22,1
2,4,2,2,46,23,1
2,3,1,3,46,24,1
2,3,1,5,46,25,1
1,2,2,-3,46,26,1
2,4,1,1,46,27,1
2,4,1,2,46,28,1
2,3,1,4,46,29,1
1,4,2,4,46,30,1
1,2,2,-5,46,31,1
2,3,1,4,46,32,1
2,3,1,5,46,33,1
2,3,1,4,46,34,1
2,3,1,4,46,35,1
2,3,2,-2,46,36,1
2,3,1,3,46,37,1
2,3,1,4,46,38,1
2,4,1,2,46,39,1
1,4,1,4,46,40,1
2,3,1,3,46,41,1
2,3,2,0,46,42,1
2,4,1,5,46,43,1
1,2,2,-2,46,44,1
2,3,1,1,46,45,1
2,4,2,4,46,46,1
1,2,2,-2,46,47,1
2,4,1,-1,46,48,1
1,4,2,-2,46,49,1
1,4,2,-1,46,50,1
2,4,1,0,46,51,1
2,3,1,2,46,52,1
1,2,2,-4,46,53,1
2,3,1,2,46,54,1
1,2,1,1,46,55,1
2,3,1,4,46,56,1
2,3,1,5,46,57,1
2,4,2,1,46,58,1
2,3,1,2,46,59,1
1,2,1,1,46,60,1
2,3,1,3,46,61,1
1,2,1,3,46,62,1
2,3,2,3,46,63,1
1,2,1,1,46,64,1
2,4,2,-3,46,65,1
2,4,1,0,46,66,1
