"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","check1","check2","check3","belief1","belief2","belief3","stamp"
"A3L1DZWXQFWB90","dez_1b_fix_v1","33","f","1.535","323Q6SJS8JNYGLJW4TJ0N3WZHZ3HFX","1370469","89473","0","0","0","0","0","0","2016-08-08 22:47:30"
"A2SRSKSRN6NA3E","dez_1b_fix_v1","22","m","0.025","37XITHEISXG423DP9W5TT1D27V9CRE","1715298","166637","0","0","0","0","0","0","2016-08-08 22:52:12"
"A1L2VPVPD5Q73","dez_1b_fix_v1","32","m","1.26","3LPW2N6LKU9BJAWRYGDQK6UCMDRU5S","1391891","80076","0","0","0","0","0","0","2016-08-08 22:58:01"
"A36YZCJV91T1EX","dez_1b_fix_v1","36","f","1","3YZ8UPK3VUTWIV56DQ0YYC0MET2CU5","1585757","302607","0","0","0","0","0","0","2016-08-09 00:08:43"
"A1GMJZUQ8Q7053","dez_1b_fix_v1","23","m","1.53","3NXNZ5RS1B4SMMM7OYXWMULU0YC79T","1373259","124057","0","0","0","0","0","0","2016-08-09 00:21:19"
