"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","check1","check2","check3","belief1","belief2","belief3","stamp"
"A1UCWZ5HW7D0OG","dez_1b_fix_v3","22","m","0.87","3YZ8UPK3VTN77DG9WXQL3KG4CSIUCH","1193433","131420","0","1","2","3","0","0","2017-08-17 16:16:06"
"A1LHSOH23WKNJI","dez_1b_fix_v3","23","f","0.93","3MHW492WW0EKTEH0ECU422NZKDVVMP","1144907","79442","0","1","2","3","1","0","2017-08-17 16:16:55"
"A1YO03P3SSC7CD","dez_1b_fix_v3","35","f","0.68","3K5TEWLKGVCYXVR9TXWCA9GI34BVI9","1170239","70723","0","1","2","2","0","0","2017-08-17 16:17:07"
"A3VPD34C23PQTQ","dez_1b_fix_v3","33","m","0","3F6HPJW4JD171ZDCU4GG9VSFLHH2WG","1230911","47104","1","1","0","1","0","0","2017-08-17 16:17:22"
"A20IXK8ZV8N72H","dez_1b_fix_v3","29","m","0.77","3FTYUGLFSUM0RQW8VSDOFE66YB25DB","1285420","151349","0","1","2","1","0","0","2017-08-17 16:17:47"
"A33QUS4NRVVMTN","dez_1b_fix_v3","25","f","0.8","3IO1LGZLK9YKTZ0VJ3CDLS65JFG86O","1282385","199853","0","1","2","2","0","0","2017-08-17 16:18:06"
"A3NUIEPMZSHEZ4","dez_1b_fix_v3","45","m","0.82","3AMYWKA6YBNNERNBQK19IEW5YKJO66","1233990","137566","0","1","2","2","0","0","2017-08-17 16:18:20"
"A2GIUHO4OQKRDH","dez_1b_fix_v3","35","m","0.82","3RXCAC0YIRQMQSP1VGLZXJJUDTJ8GQ","1289417","152785","0","1","2","2","0","0","2017-08-17 16:18:27"
"A15FXHC1CVNW31","dez_1b_fix_v3","29","m","0.88","3DOCMVPBTNFD3RTROMND50IM303NN0","1130570","40973","3","0","0","2","0","1","2017-08-17 16:18:32"
"A3F6SDO4GYBE4Y","dez_1b_fix_v3","38","f","0.12","33PPUNGG386SZEZ2KHFO97U5EB0RZ9","1225437","68985","0","3","1","0","0","0","2017-08-17 16:18:35"
"AIUKV0KVALMY6","dez_1b_fix_v3","31","f","0.81","3HPZF4IVNMUOOM0E6YNA65MH8GTYCJ","1254917","132009","3","1","2","3","0","1","2017-08-17 16:18:36"
"A3FN6HM2Z71UMQ","dez_1b_fix_v3","19","m","0.81","33LKR6A5KEL8KXRMGVBRHSBBPHKT1Z","1244785","57315","0","1","1","3","1","0","2017-08-17 16:18:36"
"A1LRXIVSOCS0GJ","dez_1b_fix_v3","21","m","0.76","3DPNQGW4LLGJAYDT70M04GQ0HTK64F","1259769","92570","0","1","2","3","1","1","2017-08-17 16:18:37"
"A1PTH9KTRO06EG","dez_1b_fix_v3","22","m","0.7","386PBUZZXFYRW1ZLXBF6Z1XGPLYLJS","1287562","118597","0","1","3","2","0","1","2017-08-17 16:18:40"
"A1Z2E3CNBPY5KD","dez_1b_fix_v3","48","m","1.02","3TVRFO09GKGSRL4AEFU7QA5V0JDXLS","1274224","153379","0","1","2","3","0","0","2017-08-17 16:18:54"
"A256CNCYJ4PUH9","dez_1b_fix_v3","32","f","0.82","3G2UL9A02DFGTLVC9YK77SAA8VA67Z","1273206","144699","0","1","2","2","0","0","2017-08-17 16:19:00"
"A2S4BU23GT93ZD","dez_1b_fix_v3","21","m","0.32","3R2UR8A0IAH0X677R7AZIR9PVOIXO9","1310453","98197","0","1","2","1","0","1","2017-08-17 16:19:01"
"AQC0SZA1E9QO7","dez_1b_fix_v3","31","m","0.56","358010RM5EUVNQG4SJWDDJ3XRHFXVB","1293637","197160","0","1","2","2","0","0","2017-08-17 16:19:03"
"A36662QQDZ9J3R","dez_1b_fix_v3","45","m","0.89","3OJSZ2ATDSXKAHVY4FA2FMWAC0Z57I","1271104","153263","0","1","2","2","0","0","2017-08-17 16:19:06"
"A2MCI9K0K5VX50","dez_1b_fix_v3","30","m","0.9","336YQZE83VF3VK2L8LCRY4T07PU5MT","1336941","165146","0","1","2","1","0","0","2017-08-17 16:19:11"
"A2TKGUJXGAL13U","dez_1b_fix_v3","25","m","0.94","3X4JMASXCMA8HMCNKQG63TMFEIFB0P","1289392","119519","0","1","2","3","0","0","2017-08-17 16:19:11"
