Action1,S2,Action2,Re,subject,round,rt2
1,3,1,1,199,1,0
1,2,1,-2,199,2,0
1,2,1,0,199,3,0
2,3,2,4,199,4,0
2,3,2,3,199,5,1
2,3,2,1,199,6,1
2,2,2,-1,199,7,1
2,3,2,-4,199,8,0
1,2,1,-3,199,9,0
2,3,2,-5,199,10,0
2,3,2,-4,199,11,1
1,2,1,1,199,12,1
2,2,1,-1,199,13,0
2,3,2,-5,199,14,1
1,2,2,2,199,15,0
1,2,2,-1,199,16,0
1,2,1,-2,199,17,0
1,2,1,-1,199,18,0
1,2,1,-5,199,19,0
2,3,1,3,199,20,0
2,3,1,4,199,21,0
2,3,1,2,199,22,1
2,3,1,-2,199,23,0
2,3,2,-3,199,24,1
2,2,2,-5,199,25,1
1,2,1,3,199,26,0
1,2,1,2,199,27,0
1,2,1,2,199,28,1
1,2,2,0,199,29,0
1,2,1,1,199,30,0
1,2,1,-1,199,31,1
1,2,2,5,199,32,0
2,3,2,5,199,33,1
1,2,2,3,199,34,1
1,2,2,3,199,35,0
1,2,2,1,199,36,0
1,3,2,1,199,37,0
2,3,2,2,199,38,1
2,2,1,-1,199,39,1
1,2,1,-3,199,40,0
1,2,1,-2,199,41,1
2,3,2,-1,199,42,0
1,2,2,1,199,43,0
1,3,1,2,199,44,1
1,2,1,-4,199,45,1
2,2,1,-2,199,46,0
2,3,2,-2,199,47,0
1,3,2,1,199,48,0
2,3,1,0,199,49,1
2,3,2,3,199,50,0
1,2,1,-3,199,51,1
2,2,2,5,199,52,0
2,2,2,5,199,53,0
1,2,1,-1,199,54,0
1,2,2,2,199,55,1
2,3,1,2,199,56,1
2,2,2,4,199,57,1
2,3,1,3,199,58,1
2,3,2,-2,199,59,0
2,2,1,-2,199,60,0
2,3,1,3,199,61,1
1,2,2,4,199,62,1
1,2,2,5,199,63,0
1,2,2,4,199,64,0
2,3,1,4,199,65,0
2,3,2,-3,199,66,1
1,2,2,-2,199,67,1
2,3,1,1,199,68,0
2,3,1,3,199,69,1
2,3,1,4,199,70,0
2,3,1,3,199,71,1
2,3,1,5,199,72,1
2,3,1,3,199,73,0
2,2,1,-1,199,74,0
2,3,1,3,199,75,1
2,3,1,2,199,76,1
1,2,2,0,199,77,1
2,3,1,3,199,78,0
2,3,1,0,199,79,0
2,2,1,-3,199,80,1
1,3,1,0,199,81,1
1,3,2,0,199,82,1
2,3,2,1,199,83,0
1,2,2,0,199,84,1
1,2,2,4,199,85,0
1,2,1,-2,199,86,1
1,3,2,2,199,87,0
2,3,2,-1,199,88,0
1,2,2,3,199,89,1
1,2,2,-1,199,90,1
2,3,2,1,199,91,1
1,3,2,1,199,92,1
2,2,1,-2,199,93,0
2,3,1,0,199,94,0
1,2,2,2,199,95,1
2,2,2,0,199,96,0
1,2,2,-2,199,97,0
2,2,2,-2,199,98,1
2,3,2,1,199,99,1
1,2,2,2,199,100,1
2,3,2,3,199,101,1
2,3,2,0,199,102,1
1,3,1,4,199,103,1
1,3,1,0,199,104,1
1,2,2,-4,199,105,1
2,3,1,-2,199,106,1
2,2,2,0,199,107,1
1,2,1,-5,199,108,1
2,3,2,0,199,109,1
2,2,2,-4,199,110,0
2,3,1,-2,199,111,1
2,3,1,-2,199,112,0
2,3,2,3,199,113,0
2,3,2,4,199,114,1
2,3,2,4,199,115,0
2,3,2,4,199,116,0
2,3,2,4,199,117,0
2,3,2,5,199,118,0
2,3,2,2,199,119,0
2,3,2,1,199,120,0
2,3,1,-2,199,121,0
2,3,2,0,199,122,1
2,3,2,0,199,123,1
2,3,1,-1,199,124,1
2,2,2,5,199,125,0
1,2,2,2,698,1,0
1,2,1,0,698,2,0
1,2,1,2,698,3,0
2,3,2,2,698,4,0
2,3,1,0,698,5,0
2,2,1,0,698,6,0
2,2,1,-1,698,7,0
1,2,1,-2,698,8,0
2,3,2,4,698,9,0
1,2,2,2,698,10,0
1,2,2,4,698,11,0
2,2,2,5,698,12,1
2,2,1,1,698,13,0
2,3,1,3,698,14,0
1,3,2,5,698,15,1
2,3,2,4,698,16,1
2,3,1,4,698,17,0
2,3,1,4,698,18,0
1,2,2,-3,698,19,1
2,3,2,1,698,20,0
2,3,1,4,698,21,1
2,3,2,5,698,22,0
1,2,1,3,698,23,0
2,2,1,1,698,24,1
