Action1,S2,Action2,Re,subject,round,rt2
2,3,2,-2,343,1,1
2,3,1,-1,343,2,1
2,3,1,-1,343,3,1
1,2,1,4,343,4,1
2,3,1,-3,343,5,1
2,3,1,-4,343,6,1
1,2,1,-4,343,7,1
1,2,1,-3,343,8,1
1,2,1,-3,343,9,1
2,3,2,-3,343,10,1
1,2,2,-3,343,11,1
1,3,2,-5,343,12,1
1,2,1,-4,343,13,1
2,3,1,0,343,14,1
2,2,2,1,343,15,1
2,2,2,0,343,16,1
2,2,2,1,343,17,1
1,2,2,2,343,18,1
1,2,2,0,343,19,1
1,2,2,-2,343,20,1
2,3,1,-2,343,21,1
2,3,1,-4,343,22,1
2,3,1,-3,343,23,1
2,2,2,0,343,24,1
2,3,2,-1,343,25,1
2,3,2,-3,343,26,1
1,2,2,1,343,27,1
1,2,2,0,343,28,1
1,2,2,0,343,29,1
1,2,2,1,343,30,1
1,2,2,1,343,31,1
1,3,2,0,343,32,1
2,3,2,1,343,33,1
2,3,1,-2,343,34,1
1,2,2,2,343,35,1
2,3,2,-3,343,36,1
2,3,2,-5,343,37,1
2,3,1,-1,343,38,1
2,3,1,0,343,39,1
1,2,2,3,343,40,1
2,3,1,0,343,41,1
1,3,1,3,343,42,1
1,3,1,4,343,43,1
2,3,1,4,343,44,1
2,3,1,3,343,45,1
2,3,1,4,343,46,1
1,3,1,5,343,47,1
2,3,1,3,343,48,1
2,2,2,-4,343,49,1
2,3,1,3,343,50,1
2,2,2,0,343,51,1
1,2,2,0,343,52,1
1,2,2,1,343,53,1
2,2,2,4,343,54,1
2,3,1,1,343,55,1
2,3,1,1,343,56,1
1,2,2,4,343,57,1
2,3,1,3,343,58,1
2,3,1,4,343,59,1
1,2,2,1,343,60,1
1,2,2,2,343,61,1
1,3,1,4,343,62,1
2,3,1,3,343,63,1
2,3,1,5,343,64,1
2,3,1,4,343,65,1
2,3,1,5,343,66,1
2,2,2,4,343,67,1
2,3,1,0,343,68,1
2,3,1,-1,343,69,1
2,3,1,0,343,70,1
2,3,1,-2,343,71,1
1,2,2,3,343,72,1
1,2,2,1,343,73,1
1,2,2,4,343,74,1
1,2,2,2,343,75,1
1,2,2,3,343,76,1
1,2,2,3,343,77,1
2,3,1,-4,343,78,1
2,3,1,-5,343,79,1
2,3,1,-5,343,80,1
2,3,2,-2,343,81,1
1,2,2,1,343,82,1
1,3,2,2,343,83,1
1,2,2,-1,343,84,1
1,2,2,0,343,85,1
1,2,2,1,343,86,1
1,2,2,1,343,87,1
2,3,2,1,343,88,1
1,2,2,1,343,89,1
2,3,2,0,343,90,1
2,3,2,-2,343,91,1
2,3,2,-2,343,92,1
2,3,2,0,343,93,1
