subject,time_elapsed,reading_time,check1,check2,check3,belief1,belief2,belief3,stamp
114,1391016,187853,0,1,2,3,0,1,8/17/17 16:28
136,1849984,295647,0,1,2,2,0,0,8/17/17 16:28
7,1816326,694459,0,1,2,3,0,0,8/17/17 16:29
43,1615140,245390,0,1,2,1,0,0,8/17/17 16:29
266,1283989,218687,0,1,2,2,0,0,8/17/17 16:29
162,1876111,538854,0,1,2,3,0,1,8/17/17 16:29
228,1720201,66737,0,1,1,2,1,1,8/17/17 16:29
36,1938944,199891,3,1,2,3,0,0,8/17/17 16:29
274,1365119,197174,0,1,2,2,0,0,8/17/17 16:29
236,1945888,544718,0,1,2,2,1,1,8/17/17 16:30
293,1295010,90653,0,1,2,2,0,1,8/17/17 16:30
151,1338894,195901,0,1,2,3,0,0,8/17/17 16:31
63,1337282,220033,0,1,0,3,1,1,8/17/17 16:31
1,1665409,385450,0,1,2,3,0,0,8/17/17 16:31
123,1089687,67217,0,1,2,0,1,1,8/17/17 16:31
66,1365850,124817,0,1,2,3,0,0,8/17/17 16:31
57,1446819,196676,0,1,2,3,0,0,8/17/17 16:31
126,1751251,330693,0,1,2,2,0,1,8/17/17 16:31
286,1414113,233418,0,1,2,2,1,0,8/17/17 16:32
85,1361989,163646,0,1,2,0,1,0,8/17/17 16:32
182,1773554,228646,1,1,2,0,1,1,8/17/17 16:32
298,1790843,175797,2,1,2,2,0,0,8/17/17 16:32
156,1459802,111057,3,2,1,2,1,1,8/17/17 16:32
68,1237127,29008,1,0,0,1,0,0,8/17/17 16:32
221,2012504,526428,0,1,2,4,0,0,8/17/17 16:33
146,1396062,124299,0,1,2,0,0,1,8/17/17 16:33
208,1848230,191382,0,1,2,1,1,0,8/17/17 16:33
137,1147820,42748,3,1,0,2,0,1,8/17/17 16:33
231,1568305,361171,0,1,2,1,0,0,8/17/17 16:33
233,1321605,127401,0,1,2,1,0,0,8/17/17 16:33
261,1656975,513863,3,0,2,2,0,0,8/17/17 16:34
70,2165238,426869,0,1,2,2,0,1,8/17/17 16:34
72,1713276,432128,0,1,2,1,0,0,8/17/17 16:35
275,1842051,746109,3,1,0,2,1,1,8/17/17 16:36
54,2431056,733055,0,1,2,2,0,0,8/17/17 16:36
82,1489010,270320,2,0,2,2,1,0,8/17/17 16:37
50,1417234,124192,0,1,2,3,0,0,8/17/17 16:37
219,1304635,196236,0,1,2,1,0,0,8/17/17 16:37
282,1476922,185546,2,1,2,0,0,0,8/17/17 16:38
104,1371229,95120,0,1,2,3,0,0,8/17/17 16:38
229,1292616,169280,1,1,0,0,0,1,8/17/17 16:39
169,1957968,343229,0,1,2,4,0,0,8/17/17 16:39
245,1568999,55868,1,1,0,2,0,0,8/17/17 16:40
214,1489205,121291,0,1,2,2,0,0,8/17/17 16:41
227,1392859,230720,0,1,2,2,1,1,8/17/17 16:41
281,2507822,1005623,0,1,2,2,0,0,8/17/17 16:42
287,1913778,85451,0,1,2,3,0,0,8/17/17 16:42
103,1242625,59507,2,1,2,0,0,1,8/17/17 16:43
239,1289894,143678,0,1,2,2,0,0,8/17/17 16:43
125,1223504,77777,0,1,2,1,0,1,8/17/17 16:44
193,1712448,475578,0,1,2,2,0,1,8/17/17 16:46
129,2284930,237349,0,1,2,1,1,1,8/17/17 16:47
234,1465806,219295,0,1,2,2,0,0,8/17/17 16:47
160,1851030,422722,0,1,2,0,0,0,8/17/17 16:47
186,1377304,94719,0,1,2,2,0,1,8/17/17 16:47
183,2710459,591121,0,1,2,2,0,0,8/17/17 16:48
209,1237479,125491,0,1,2,3,0,0,8/17/17 16:49
113,1737983,186926,0,1,2,3,0,0,8/17/17 16:49
58,3310495,153439,0,1,2,2,0,0,8/17/17 16:51
119,2469726,140659,0,1,2,1,1,0,8/17/17 16:51
269,1567412,266188,0,1,2,3,0,0,8/17/17 16:52
296,1320231,95703,0,1,2,1,0,0,8/17/17 16:52
35,1298403,194698,0,1,2,3,0,0,8/17/17 16:52
295,1558060,315580,0,1,2,3,0,0,8/17/17 16:52
272,1351715,179420,0,1,2,3,0,0,8/17/17 16:52
152,1402549,195574,0,1,2,3,0,0,8/17/17 16:53
106,1280140,69077,-1,0,2,2,0,1,8/17/17 16:53
291,1215761,128171,0,1,2,3,0,0,8/17/17 16:53
250,1617399,430009,0,1,2,2,0,0,8/17/17 16:53
32,3238376,1681412,0,1,2,2,0,0,8/17/17 16:55
223,1443837,143498,0,1,2,2,0,1,8/17/17 16:55
97,1337917,149717,0,1,2,3,0,0,8/17/17 16:57
142,1517195,281477,0,1,2,2,0,0,8/17/17 16:57
13,1686058,530541,0,1,2,1,0,0,8/17/17 16:58
89,1842676,289101,0,1,2,2,0,0,8/17/17 16:59
135,2067280,775198,0,1,2,2,0,0,8/17/17 16:59
27,3752611,117381,0,1,2,1,0,0,8/17/17 16:59
241,2090089,93329,0,1,2,1,0,0,8/17/17 17:00
166,3865677,173113,0,1,2,2,0,0,8/17/17 17:00
157,1997750,376584,-1,-1,-1,1,0,1,8/17/17 17:01
222,1617731,91410,0,1,2,2,0,0,8/17/17 17:01
200,2299175,191757,1,1,2,2,1,0,8/17/17 17:02
141,1390762,141731,0,1,2,2,0,0,8/17/17 17:02
262,1287680,47703,2,1,2,2,1,0,8/17/17 17:02
256,1326792,150806,0,1,2,0,0,0,8/17/17 17:03
11,1952894,881232,0,1,2,3,0,0,8/17/17 17:03
100,3982748,2890687,0,1,2,1,1,1,8/17/17 17:05
124,2605936,118607,0,1,2,2,0,0,8/17/17 17:06
83,4287464,1706864,0,1,2,2,1,1,8/17/17 17:08
251,1502493,236720,0,1,2,2,0,0,8/17/17 17:09
99,2002246,138045,0,0,2,2,0,0,8/17/17 17:10
232,1214977,43604,3,1,0,1,0,1,8/17/17 17:11
267,1816871,142914,0,1,2,2,0,0,8/17/17 17:13
122,1233949,154331,0,1,2,2,0,0,8/17/17 17:13
33,2069349,851832,0,1,2,2,1,1,8/17/17 17:14
131,1230762,129149,0,1,2,1,0,0,8/17/17 17:14
294,3279357,78858,1,2,3,3,1,1,8/17/17 17:15
49,1274326,95588,0,1,2,3,0,0,8/17/17 17:15
20,1454272,286428,0,1,2,1,0,0,8/17/17 17:15
120,1329625,137172,0,1,2,1,0,0,8/17/17 17:15
9,1006662,44482,0,1,1,1,1,1,8/17/17 17:15
191,1267907,153823,0,1,2,2,0,0,8/17/17 17:17
93,1471648,290884,0,1,2,3,0,0,8/17/17 17:17
178,1490713,240209,0,1,2,2,0,0,8/17/17 17:17
280,1740207,149619,2,1,1,0,0,0,8/17/17 17:17
155,2741870,89934,0,1,2,0,0,0,8/17/17 17:17
270,1249769,54037,2,1,1,2,1,1,8/17/17 17:22
202,1217993,120610,0,1,2,4,0,0,8/17/17 17:22
168,1334583,181952,1,1,2,1,0,1,8/17/17 17:23
290,1307557,272335,0,1,2,1,1,0,8/17/17 17:24
19,1442731,35928,0,1,2,2,0,0,8/17/17 17:24
109,1292570,175630,0,1,2,1,0,0,8/17/17 17:25
121,5154856,277407,3,1,2,3,0,1,8/17/17 17:25
260,1407895,224398,0,1,2,0,0,1,8/17/17 17:26
94,1787455,406442,0,1,2,1,0,0,8/17/17 17:26
188,1468148,159142,0,1,2,3,0,0,8/17/17 17:26
48,1583443,195592,0,1,2,4,0,0,8/17/17 17:27
177,2716335,161823,2,0,2,3,1,0,8/17/17 17:28
41,1390431,202623,0,1,2,2,0,0,8/17/17 17:28
56,1339610,188144,0,1,2,3,0,0,8/17/17 17:28
265,1372416,185363,0,1,2,2,0,0,8/17/17 17:30
246,1370424,126090,0,1,2,2,0,0,8/17/17 17:31
143,1340731,180733,0,1,2,1,0,1,8/17/17 17:32
220,1309696,89864,1,0,0,2,0,0,8/17/17 17:32
284,2077420,114282,0,1,3,1,0,1,8/17/17 17:32
201,1297044,186832,0,1,2,2,0,0,8/17/17 17:33
88,1282514,214094,0,1,2,2,0,0,8/17/17 17:33
180,1410428,153432,0,1,2,2,1,1,8/17/17 17:35
207,3710855,139897,0,1,1,0,0,0,8/17/17 17:35
91,1519088,52449,0,1,2,2,0,1,8/17/17 17:36
167,1474750,233453,0,1,2,2,0,0,8/17/17 17:36
147,1485982,337378,1,2,0,3,1,0,8/17/17 17:36
255,1383318,292057,0,1,2,1,0,0,8/17/17 17:36
190,3906805,182449,0,1,2,1,1,1,8/17/17 17:37
10,1280322,180275,0,1,2,2,0,0,8/17/17 17:38
67,1779443,631982,0,1,2,2,0,0,8/17/17 17:38
205,1258817,155857,0,1,2,2,0,0,8/17/17 17:38
84,1479666,422009,-1,1,2,4,0,0,8/17/17 17:39
247,1690172,62546,0,1,2,1,0,0,8/17/17 17:40
226,1413202,110218,0,1,2,0,1,0,8/17/17 17:42
24,1186450,104001,0,1,2,2,0,0,8/17/17 17:42
158,1164917,129624,0,1,2,0,0,0,8/17/17 17:45
225,1592154,295107,-1,-1,-1,3,1,1,8/17/17 17:45
259,1523881,186439,0,1,2,2,1,0,8/17/17 17:46
238,4599366,3293562,0,1,2,3,1,1,8/17/17 17:48
79,1447389,242646,0,1,2,1,0,0,8/17/17 17:48
15,1468503,269180,2,1,2,2,0,1,8/17/17 17:48
128,1519605,197901,0,1,2,1,0,1,8/17/17 17:50
133,1341746,64854,2,0,2,2,0,0,8/17/17 17:51
17,1805007,511733,-1,2,1,2,0,0,8/17/17 17:54
181,7081111,240272,2,1,2,2,0,0,8/17/17 17:55
