"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","check1","check2","check3","belief1","belief2","belief3","stamp"
"A2541C8MY0BYV3","dez_1b_fix_v2","29","m","0.61","3BV8HQ2ZZW2YCNTAG1WRHJC09YQ6AQ","1278073","13647","3","1","0","3","0","1","2017-08-16 14:38:25"
"AEF74ZYJTTEIA","dez_1b_fix_v2","39","m","0","3Z7ISHFUH0WMH9K6L89OIQZ0OEMZ85","1270089","71240","0","1","2","0","0","1","2017-08-16 14:39:30"
"A2I5850G7EOPQ2","dez_1b_fix_v2","30","m","0.48","3TPZPLC3M0D628CUMIGQ0BPBYTO3PX","1351867","42084","0","1","2","2","0","0","2017-08-16 14:39:39"
"A36CZ0F88ELFWF","dez_1b_fix_v2","29","m","0.69","3D3VGR7TA0GRELS9ZAKF56PQZBC3RP","1371166","116260","0","1","2","2","0","0","2017-08-16 14:39:43"
"AGDJB8B8CDZ71","dez_1b_fix_v2","34","m","0.52","33CKWXB73JL7BDFDECRHBMSGXT411Z","1414109","139440","0","1","2","2","1","1","2017-08-16 14:39:53"
"A2QUXO9OJY69QM","dez_1b_fix_v2","31","m","1.3","37FMASSAYCSJOHT3OG5C9XMB076BIK","1367356","77310","0","1","2","4","0","0","2017-08-16 14:40:11"
"A2M45YGLOWMO4N","dez_1b_fix_v2","40","m","0.61","3OS4RQUCR9GZEQRDN8ZR609JKFEFBX","1347826","71500","0","1","2","3","0","0","2017-08-16 14:40:22"
"A2ACX43GBX15OC","dez_1b_fix_v2","51","f","1.24","3EO896NRAWWFFE7Q6KHXLS7XJTVJTU","1392051","122574","0","1","2","3","1","0","2017-08-16 14:40:41"
"AGON2ML5JT2OI","dez_1b_fix_v2","27","f","0.64","3E47SOBEYQX2YML92G17KHSTIS6CIS","1436779","111867","-1","1","2","1","0","0","2017-08-16 14:41:07"
"A4ZPIPBDO624H","dez_1b_fix_v2","39","m","0.38","3DI28L7YXAF6VE9PQ0MWI6BAM281EI","1381078","44199","0","1","0","2","0","0","2017-08-16 14:41:14"
"A2G7N0X0PNX0EE","dez_1b_fix_v2","31","m","0.56","3VP0C6EFSGXZEO2ZD4MWQA703FF6MA","1460546","103622","0","1","2","0","0","0","2017-08-16 14:41:16"
"A22ABLVEI5EGPL","dez_1b_fix_v2","28","m","1.14","3VELCLL3GKKY1S9LLB620OWAY3NF1E","1429654","117494","0","1","2","2","0","0","2017-08-16 14:41:43"
"A1QVNF19XSRSD7","dez_1b_fix_v2","33","m","0.66","3YZ8UPK3VTN77DG9WXQL3KG4CNTCU0","1378003","18310","0","1","1","1","1","1","2017-08-16 14:41:53"
"A321AGEY23DDEH","dez_1b_fix_v2","27","m","1.15","3KKG4CDWKIZ6SHFR57PCOQH27P294T","1309289","48474","1","0","2","2","0","0","2017-08-16 14:41:59"
"A2YCMT5BPA0AG9","dez_1b_fix_v2","55","m","0.63","37UEWGM5HT9V4IEUC66WHDAT1RY1RV","1462690","135464","0","1","2","1","0","1","2017-08-16 14:42:15"
"ATZBGGX4J7B1N","dez_1b_fix_v2","28","f","1","3UXUOQ9OKEYHGN7FZB1JNXCW49A7AQ","1441205","71168","0","1","2","3","0","0","2017-08-16 14:42:24"
"A1TLNLB9D87H6","dez_1b_fix_v2","33","f","0.92","3MMN5BL1WZ50H5FHU2OYJ7VGTOD3M1","1518196","149276","0","1","2","2","0","1","2017-08-16 14:42:43"
"A3BI0AX5T5GVO3","dez_1b_fix_v2","24","f","0.47","39LNWE0K4UXYKG29O7M7ENEZPSCUIJ","1342898","19883","1","1","2","2","1","1","2017-08-16 14:42:48"
" A17J1CE7N49Z9D","dez_1b_fix_v2","24","m","1.13","34T446B1C0FRRR4TYQC1EDSXWYPC0X","1315276","21956","0","1","2","3","0","0","2017-08-16 14:42:57"
"A2S3SV1LQTKJ8K","dez_1b_fix_v2","27","m","0.68","3Z7VU45IPYI4690LMN093GCSA8GZ1L","1404094","121873","0","1","2","2","0","0","2017-08-16 14:43:00"
"A23EWFNNOUS10B","dez_1b_fix_v2","31","m","1.12","3EJPLAJKEMHZDV1ISTCQYC39IJX6ZR","1542946","318076","0","1","2","3","0","0","2017-08-16 14:43:00"
"A1X3N2ATX5DAJP","dez_1b_fix_v2","41","m","1.01","3QXNC7EIPIWPTTXQM62ACNRPQDM90D","1566501","116451","-1","-1","-1","2","0","1","2017-08-16 14:43:01"
"A3BUWQ5C39GRQC","dez_1b_fix_v2","36","f","0.68","3VW6495TLJ11RP1J2Q5Z3WE0BZLYYR","1410844","131621","0","1","2","1","0","0","2017-08-16 14:43:11"
"A1ESVUGRG21JA6","dez_1b_fix_v2","29","m","0.41","30JNVC0OR9L6WSK81GKH4AGVMUSHQ9","1467295","176271","0","1","2","1","0","0","2017-08-16 14:43:48"
"A1LRJ2MQD4AMES","dez_1b_fix_v2","34","m","0.75","3X1FV8S5JXSK14LE39W9PX32OMUGV3","1648222","408077","0","1","2","2","0","0","2017-08-16 14:44:11"
"AR8AWAHW7PAZT","dez_1b_fix_v2","25","m","0.66","3YJ6NA41JBHHNMEJP38DGI60UQAJPP","1344118","76680","0","0","2","0","0","0","2017-08-16 14:44:18"
"ATF7HBD1TFI2U","dez_1b_fix_v2","36","f","0.72","39GXDJN2OTF58PFWKBKLXKM403H8VF","1631617","332341","0","1","2","2","0","0","2017-08-16 14:44:30"
"A1GXFMAC759VRM","dez_1b_fix_v2","39","m","0.86","37TRT2X24QSFJSD96YQCLY1BDMVBJW","1478140","179233","0","1","2","2","0","0","2017-08-16 14:44:52"
"A2A27TLFWKDXUW","dez_1b_fix_v2","46","m","0.86","3BF51CHDTVBI8ZF9KIQ2P4PD9QUH0B","1595734","140792","1","1","2","3","0","0","2017-08-16 14:44:55"
"AVIH7MSMSTZCW","dez_1b_fix_v2","46","m","0.65","3CP1TO84PT2DOGYSY3T7JVF21FN25Z","1633355","191029","0","1","2","3","0","0","2017-08-16 14:45:11"
"A1ZB2NY0F9QNP0","dez_1b_fix_v2","23","f","0.86","3ZV9H2YQQD8WMH9VY4ULS5X7RQR3WS","1489368","67484","0","1","2","2","0","0","2017-08-16 14:45:20"
"A21UA6O7ZFAIQJ","dez_1b_fix_v2","34","m","1.06","3HMVI3QICJT41JQGQ1YQP93Q4ED1YX","1570119","182357","0","1","2","3","0","0","2017-08-16 14:45:23"
"A1945USNZHTROX","dez_1b_fix_v2","37","m","0.62","3AUQQEL7U5UNQ0ATP77645GMH550VK","1664820","137348","3","1","2","2","0","0","2017-08-16 14:45:34"
"A2OTDMCV8CZWML","dez_1b_fix_v2","40","other","0.68","3GD6L00D3SY472127YAFVEGJV4Z1M7","1494197","94931","0","1","2","2","0","0","2017-08-16 14:45:35"
"A11S8IAAVDXCUS","dez_1b_fix_v2","27","f","0.97","3IXEICO792K3RJSJM1N8CO2SXNB6TB","1598913","111446","-1","1","2","2","0","0","2017-08-16 14:45:37"
"A1HWTTN3JEUNZY","dez_1b_fix_v2","33","f","0.93","3PJ71Z61R43P0II8IP6AQSAZV5S198","1720802","398179","0","1","2","2","0","0","2017-08-16 14:45:45"
"A2B8HPIZDKYKDR","dez_1b_fix_v2","44","m","0.95","369J354OFDBZME6D21O1D5N37T36G2","1468939","61525","2","1","2","2","0","0","2017-08-16 14:46:01"
"AJRY9ALX8069Y","dez_1b_fix_v2","34","f","1.19","3A1COHJ8NJW0QOKCFM3HIJVVSO6H8Y","1707313","270523","0","1","2","3","0","0","2017-08-16 14:46:09"
"A3TQD8CNO16IZK","dez_1b_fix_v2","35","f","1.03","3SEPORI8WN000XDLI6T2EH5VE2MZA9","1407772","86817","1","1","2","3","0","0","2017-08-16 14:46:17"
"AZIY6IFOS4CVC","dez_1b_fix_v2","29","m","0.1","3QFUFYSY9YGFTR648TP4YM3DANX4FG","1679001","162175","0","1","2","1","0","0","2017-08-16 14:46:19"
"AXPOBOA6RMCV0","dez_1b_fix_v2","27","f","0.48","3PZDLQMM0TMYN177DDGFX1LCTW9C2H","1397838","54444","2","0","2","1","0","0","2017-08-16 14:46:28"
