"subject","version","rt1","key1","Action1","rt2","key2","Action2","Re","common","S2","score","practice","reverse_mapping_1","reverse_mapping_2","timeouts","vals","trial_index","time_elapsed","stamp","rews1a1","rews1a2","rews2a1","rews2a2"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","5783","74","2","3716","74","2","1","1","3","1","1","0","0","0","0,5,2,1,0,0","0","0","2017-08-17 14:23:05","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","1040","74","2","1453","70","1","2","1","3","3","1","0","0","0","1,4,2,1,1,1","1","0","2017-08-17 14:23:12","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","961","70","1","2192","74","2","3","1","2","6","1","0","0","0","2,3,4,0,-1,-1","2","0","2017-08-17 14:23:20","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","892","70","1","639","70","1","1","1","2","7","1","0","0","0","1,-1,3,1,0,0","3","0","2017-08-17 14:23:26","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","1089","70","1","471","74","2","-2","1","2","5","1","0","0","0","4,-2,4,0,2,2","4","0","2017-08-17 14:23:32","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","241","70","1","481","70","1","1","1","2","6","1","0","0","0","1,-3,3,0,-1,-1","5","0","2017-08-17 14:23:38","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","475","74","2","712","74","2","2","1","3","8","1","0","0","0","5,-3,5,2,-4,-4","6","0","2017-08-17 14:23:44","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","846","70","1","590","70","1","4","1","2","12","1","0","0","0","4,-3,2,2,-3,-3","7","0","2017-08-17 14:23:50","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","476","74","2","836","74","2","3","1","3","15","1","0","0","0","2,-2,4,3,-3,-3","8","0","2017-08-17 14:23:56","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","255","70","1","419","70","1","-1","1","2","14","1","0","0","0","-1,-4,2,1,-3,-3","9","0","2017-08-17 14:24:01","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","208","74","2","1634","74","2","0","0","4","14","1","0","0","0","0,-3,3,3,0,0","10","0","2017-08-17 14:24:08","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","414","74","2","613","74","2","5","1","3","19","1","0","0","0","1,-5,5,5,0,0","11","0","2017-08-17 14:24:14","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","395","74","2","316","74","2","4","1","3","23","1","0","0","0","1,-4,3,4,-1,-1","12","0","2017-08-17 14:24:19","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","268","74","2","372","74","2","4","1","3","27","1","0","0","0","3,-4,4,4,0,0","13","0","2017-08-17 14:24:24","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","441","74","2","435","74","2","4","1","3","31","1","0","0","0","0,-4,5,4,-4,-4","14","0","2017-08-17 14:24:30","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","567","74","2","348","74","2","-4","0","4","27","1","0","0","0","0,-4,2,3,-4,-4","15","0","2017-08-17 14:24:36","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","391","74","2","425","74","2","3","1","3","30","1","0","0","0","0,-4,3,3,-1,-1","16","0","2017-08-17 14:24:41","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","25981","70","1","963","70","1","-2","1","2","28","1","0","0","0","-2,-2,4,0,-3,-3","17","0","2017-08-17 14:25:13","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","313","74","2","399","74","2","1","1","3","29","1","0","0","0","-4,-1,4,1,-1,-1","18","0","2017-08-17 14:25:18","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","572","74","2","329","74","2","-1","1","3","28","1","0","0","0","-4,0,2,-1,-4,-4","19","0","2017-08-17 14:25:24","0","0","0","0"
"A1IXH2QLUU5BKZ","dez_1b_fix_v3_pilot2","333","74","2","1788","70","1","2","1","3","30","1","0","0","0","-3,-2,2,1,-5,-5","20","0","2017-08-17 14:25:31","0","0","0","0"
