"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","check1","check2","check3","belief1","belief2","belief3","stamp"
"A3AJJHOAV7WIUQ","dez_1b_fix_v1","43","f","0.29","3Y5140Z9DYNA3TJAOEXQZ9BIKXTIPD","2699490","410253","2","1","2","1","0","1","2016-08-13 22:14:42"
"A2MUCL20GTQJA0","dez_1b_fix_v1","29","m","0.77","34J10VATJG5V35KPORCFZE1SPTFIQ4","1669669","241594","0","1","2","2","1","0","2016-08-13 22:54:28"
"A3TOUB8313BPVS","dez_1b_fix_v1","20","m","0.89","3ZPBJO59KQ81I150DNOAZ3TE61BDH1","1499578","184490","2","1","2","3","0","1","2016-08-14 00:18:30"
"A3MINXTRD9D578","dez_1b_fix_v1","30","m","0.44","3IKZ72A5B5NQQH577REDSNTV4Q0NFV","1382608","95357","0","1","2","2","0","0","2016-08-14 01:53:54"
"A16ICTTBPD7Q6Y","dez_1b_fix_v1","33","f","1.06","3DHE4R9OCXI0FVC9WSMBIKQ9UA9G2W","1553927","123686","0","1","2","3","0","0","2016-08-14 02:26:22"
"A26NGLGGFTATVN","dez_1b_fix_v1","34","m","0.85","3HRMW88U17XTBV5HS8GSC1HRTZY0M3","1320410","89695","0","1","2","2","0","0","2016-08-14 16:05:54"
"A142HGTX0JO7YH","dez_1b_fix_v1","21","m","0.26","31Z0PCVWULMB61VLM42DDUM6VL07TB","1341366","108053","0","1","2","2","1","0","2016-08-14 16:06:05"
"A1LB9JOMFQ1UMG","dez_1b_fix_v1","24","f","0.8","3XUHV3NRVL56EOQ7YH6R1R5MTLA5HK","1405145","80359","0","1","2","1","0","0","2016-08-14 16:07:24"
"AL8KOIH1DJ7D9","dez_1b_fix_v1","30","m","0.42","3E1QT0TDFQGPX1KT2XVFDNGSVOQ8II","1354980","85925","0","1","2","3","0","0","2016-08-14 16:07:27"
"AMTTB8JUWRRM7","dez_1b_fix_v1","20","f","0.59","3KWTYT0871A80K9XP2LPTJYTA2J5LR","1364719","84156","0","1","2","3","0","0","2016-08-14 16:07:34"
"AIUKV0KVALMY6","dez_1b_fix_v1","30","f","0.91","3LOTDFNYA86GDBELZS50O66MX31FWD","1388008","54524","-1","-1","2","3","0","1","2016-08-14 16:07:44"
"A1LSEVXPEYMJL7
A1LSEVXPEYMJL7","dez_1b_fix_v1","38","f","0.74","3R6BYFZZP8JV2BJB9X1MQPKT657FX6","1391925","83015","0","1","2","2","0","0","2016-08-14 16:07:48"
