Action1,S2,Action2,Re,subject,round,bestA1,bestA2
1,3,2,-5,253,1,0,0
1,2,2,5,253,2,0,0
1,2,2,3,253,3,0,0
1,2,2,5,253,4,0,0
2,3,1,-3,253,5,0,0
1,3,2,-4,253,6,0,0
2,3,1,-3,253,7,0,0
1,2,1,0,253,8,0,0
1,2,2,-1,253,9,0,0
1,2,1,-1,253,10,0,0
2,2,1,-1,253,11,0,0
2,2,2,-3,253,12,0,0
1,3,2,-3,253,13,0,0
1,3,1,-4,253,14,0,0
2,3,2,-4,253,15,0,0
1,2,1,-4,253,16,0,0
1,2,1,-5,253,17,0,0
1,2,2,-3,253,18,0,0
1,2,2,1,253,19,0,0
2,2,1,-1,253,20,0,0
1,2,1,-3,253,21,0,0
1,2,2,-2,253,22,0,0
2,3,2,-3,253,23,0,0
2,3,1,2,253,24,0,0
2,2,1,3,253,25,0,0
2,3,1,2,253,26,0,0
2,2,1,1,253,27,0,0
2,3,1,3,253,28,0,0
2,2,1,-3,253,29,0,0
2,3,1,1,253,30,0,0
2,3,1,-1,253,31,0,0
2,3,1,-2,253,32,0,0
2,3,1,0,253,33,0,0
2,3,1,3,253,34,0,0
2,3,1,2,253,35,0,0
2,3,1,2,253,36,0,0
2,2,1,2,253,37,0,0
1,2,1,0,253,38,0,0
2,3,1,0,253,39,0,0
1,2,2,-4,253,40,0,0
1,3,1,3,253,41,0,0
1,2,1,-1,253,42,0,0
2,3,1,3,253,43,0,0
2,2,1,3,253,44,0,0
1,2,1,5,253,45,0,0
2,2,1,3,253,46,0,0
1,2,1,4,253,47,0,0
2,3,1,4,253,48,0,0
1,2,1,4,253,49,0,0
1,2,1,5,253,50,0,0
1,2,1,5,253,51,0,0
1,2,1,4,253,52,0,0
2,3,1,-1,253,53,0,0
1,2,1,4,253,54,0,0
1,3,1,1,253,55,0,0
1,3,1,0,253,56,0,0
1,3,2,1,253,57,0,0
1,2,1,0,253,58,0,0
1,2,1,1,253,59,0,0
2,2,1,2,253,60,0,0
1,2,1,0,253,61,0,0
2,3,1,-3,253,62,0,0
1,3,1,-4,253,63,0,0
2,3,2,-1,253,64,0,0
1,2,1,4,253,65,0,0
1,2,1,2,253,66,0,0
1,2,1,1,253,67,0,0
1,3,1,-4,253,68,0,0
1,2,1,4,253,69,0,0
1,2,1,4,253,70,0,0
2,2,1,4,253,71,0,0
1,2,1,4,253,72,0,0
1,2,1,4,253,73,0,0
2,3,1,5,253,74,0,0
1,3,1,5,253,75,0,0
2,3,1,5,253,76,0,0
1,2,1,2,253,77,0,0
1,2,1,1,253,78,0,0
2,2,1,4,253,79,0,0
2,3,1,5,253,80,0,0
1,3,1,4,253,81,0,0
1,2,1,0,253,82,0,0
2,3,1,5,253,83,0,0
2,2,1,0,253,84,0,0
2,2,1,1,253,85,0,0
