Action1,S2,Action2,rt2,Re,subject,round
1,2,2,1,0,753,1
1,2,2,1,1,753,2
1,2,2,1,-4,753,3
1,2,2,0,-4,753,4
1,2,1,0,-5,753,5
2,3,1,0,-4,753,6
1,2,1,1,-3,753,7
1,2,2,0,-2,753,8
2,2,2,0,-4,753,9
2,2,2,1,-4,753,10
2,2,1,1,-4,753,11
2,2,2,0,-4,753,12
2,3,2,1,-4,753,13
2,3,1,1,-5,753,14
2,3,2,0,-2,753,15
2,3,2,0,-3,753,16
2,3,1,0,-2,753,17
2,3,1,0,-4,753,18
1,3,1,0,-3,753,19
1,2,1,0,5,753,20
1,2,1,0,4,753,21
1,2,1,1,2,753,22
1,2,1,1,2,753,23
1,2,1,1,1,753,24
1,2,1,0,0,753,25
1,3,1,0,-1,753,26
1,3,1,0,-2,753,27
1,3,2,0,-2,753,28
1,2,1,1,-2,753,29
1,2,1,1,1,753,30
1,2,1,1,0,753,31
1,3,2,1,1,753,32
1,2,1,1,0,753,33
1,2,1,1,-1,753,34
1,2,1,1,1,753,35
1,2,1,1,0,753,36
1,2,1,1,-1,753,37
1,2,1,1,-2,753,38
1,3,2,1,-1,753,39
1,2,1,1,-1,753,40
1,3,1,1,-3,753,41
1,3,2,1,-1,753,42
1,2,1,1,4,753,43
1,2,1,1,3,753,44
1,2,1,0,4,753,45
1,2,1,0,4,753,46
1,2,1,1,4,753,47
1,2,1,0,4,753,48
1,2,1,0,0,753,49
1,2,1,1,-1,753,50
1,2,1,1,1,753,51
1,3,1,1,-2,753,52
1,2,1,1,2,753,53
1,3,2,1,-4,753,54
1,2,1,1,3,753,55
1,3,2,1,-3,753,56
1,2,1,1,3,753,57
1,2,1,1,2,753,58
1,2,1,1,4,753,59
1,2,1,1,2,753,60
1,2,1,1,3,753,61
1,2,1,0,0,753,62
1,2,1,1,-3,753,63
1,2,1,1,-5,753,64
1,2,1,1,-1,753,65
2,3,2,0,-2,753,66
1,2,1,0,-4,753,67
1,2,1,0,-1,753,68
2,3,1,0,-2,753,69
2,2,1,0,-2,753,70
1,2,1,1,0,753,71
1,2,1,0,1,753,72
1,3,1,0,-1,753,73
1,2,1,0,2,753,74
1,2,1,0,5,753,75
1,2,1,0,5,753,76
1,2,1,1,4,753,77
1,2,1,1,5,753,78
1,2,1,1,-1,753,79
1,2,1,0,2,753,80
1,2,1,0,0,753,81
1,2,1,0,-2,753,82
1,2,1,0,-4,753,83
1,3,1,0,-5,753,84
2,3,1,1,-3,753,85
2,3,2,1,3,753,86
2,2,1,1,-5,753,87
2,3,2,1,4,753,88
2,3,2,1,3,753,89
2,3,2,1,2,753,90
2,3,2,0,-2,753,91
2,3,2,1,0,753,92
2,3,2,1,-2,753,93
2,3,2,1,4,753,94
2,3,2,1,3,753,95
2,3,2,1,2,753,96
2,3,2,1,4,753,97
2,3,2,1,3,753,98
2,3,2,0,-2,753,99
2,3,2,0,-1,753,100
2,3,2,0,-3,753,101
2,3,2,0,-5,753,102
2,3,2,1,-5,753,103
2,3,1,1,1,753,104
2,3,1,1,0,753,105
2,3,1,1,-2,753,106
1,2,2,0,4,753,107
1,2,2,0,3,753,108
1,2,2,0,4,753,109
1,2,2,1,4,753,110
1,2,2,1,1,753,111
1,2,2,0,2,753,112
1,2,2,0,4,753,113
1,2,2,1,4,753,114
1,2,2,1,4,753,115
1,2,2,1,2,753,116
1,2,2,1,3,753,117
1,2,2,1,1,753,118
1,2,2,1,-2,753,119
1,2,2,1,1,753,120
1,2,2,1,-1,753,121
1,2,2,1,-3,753,122
1,2,2,0,-5,753,123
2,3,1,1,-2,753,124
1,2,2,0,-2,753,125
1,3,1,0,-4,753,126
1,2,1,0,-1,753,127
1,2,1,1,0,753,128
1,2,2,0,-1,753,129
1,2,2,1,-4,753,130
1,3,1,0,-3,753,131
1,2,1,1,-4,753,132
1,2,1,1,-3,753,133
2,3,1,0,1,753,134
2,2,1,0,3,753,135
2,2,1,0,2,753,136
2,3,1,0,3,753,137
2,3,1,1,1,753,138
1,3,1,0,-1,753,139
1,2,1,1,1,753,140
1,2,1,1,1,753,141
1,3,1,0,2,753,142
1,2,1,0,4,753,143
1,2,1,0,4,753,144
1,2,1,0,3,753,145
1,2,1,1,0,753,146
1,3,1,1,-1,753,147
1,2,1,1,3,753,148
1,2,1,0,1,753,149
1,2,1,0,2,753,150
2,3,1,1,-1,753,151
1,2,1,1,-3,753,152
2,3,1,0,-1,753,153
2,3,1,1,-3,753,154
2,3,1,1,-4,753,155
1,2,1,1,-2,753,156
1,3,1,1,-1,753,157
1,2,1,1,-2,753,158
2,3,1,1,3,753,159
1,2,1,1,-2,753,160
2,3,1,1,2,753,161
2,3,1,1,2,753,162
2,3,1,1,0,753,163
2,3,1,1,-3,753,164
2,3,1,0,-5,753,165
2,3,1,0,-3,753,166
2,3,1,0,-3,753,167
1,2,1,1,-1,753,168
1,3,1,0,-2,753,169
1,3,1,0,-3,753,170
2,3,1,0,-3,753,171
2,3,1,0,0,753,172
1,2,1,1,0,753,173
1,2,1,0,-3,753,174
1,2,2,0,0,753,175
1,2,2,1,-1,193,1
2,3,2,1,-3,193,2
1,3,1,0,5,193,3
2,3,2,0,-4,193,4
1,2,1,0,-3,193,5
2,3,1,0,5,193,6
1,2,1,0,-4,193,7
1,2,1,0,-1,193,8
1,3,1,0,4,193,9
1,2,1,1,0,193,10
2,2,1,0,1,193,11
1,2,1,0,4,193,12
1,2,2,0,2,193,13
1,2,2,1,1,193,14
1,2,2,1,-3,193,15
1,2,2,0,-4,193,16
1,2,2,0,-5,193,17
2,2,1,0,5,193,18
2,3,2,0,-2,193,19
1,2,2,0,-4,193,20
1,2,2,1,-4,193,21
1,3,2,1,-2,193,22
1,2,2,0,1,193,23
1,2,2,0,1,193,24
