Action1,S2,Action2,rt2,Re,subject,round
1,2,2,1,1,677,1
1,2,2,0,2,677,2
1,2,2,0,2,677,3
1,3,2,0,-4,677,4
1,2,2,0,4,677,5
1,2,2,0,-1,677,6
1,3,2,0,2,677,7
1,3,2,0,-2,677,8
1,3,2,0,0,677,9
1,2,2,0,-2,677,10
1,2,1,0,-3,677,11
2,2,1,0,-2,677,12
1,2,2,0,3,677,13
1,2,2,0,2,677,14
1,2,2,0,3,677,15
1,3,2,0,1,677,16
2,3,2,0,4,677,17
2,3,2,0,5,677,18
2,3,2,0,3,677,19
2,2,2,0,2,677,20
2,3,2,0,2,677,21
2,3,2,0,3,677,22
2,3,2,0,5,677,23
2,3,2,0,4,677,24
2,3,2,0,4,677,25
2,2,2,0,-1,677,26
2,2,2,0,2,677,27
2,2,2,0,3,677,28
2,2,2,0,3,677,29
2,3,2,0,1,677,30
1,2,2,1,4,677,31
2,3,2,0,3,677,32
2,3,2,0,4,677,33
2,3,2,0,2,677,34
2,2,2,0,5,677,35
2,3,2,0,3,677,36
2,2,2,0,5,677,37
2,2,2,0,4,677,38
2,3,2,0,2,677,39
2,3,2,0,0,677,40
2,3,2,0,0,677,41
2,3,2,0,0,677,42
1,2,2,0,0,677,43
1,2,2,1,1,677,44
2,2,2,0,2,677,45
2,3,2,0,-3,677,46
2,3,2,0,1,677,47
2,3,2,0,1,677,48
2,3,2,0,4,677,49
2,3,2,0,2,677,50
2,3,2,0,-1,677,51
2,3,2,0,0,677,52
1,2,2,0,1,677,53
1,2,2,0,3,677,54
1,2,2,1,2,677,55
1,3,2,1,-1,677,56
1,3,2,1,0,677,57
1,2,2,1,-3,677,58
2,3,1,0,1,677,59
2,3,2,0,3,677,60
2,2,2,0,-2,677,61
2,2,2,0,-3,677,62
2,2,2,1,-1,677,63
2,3,2,0,1,677,64
2,2,2,0,-3,677,65
1,2,2,0,-4,677,66
1,2,2,1,-5,677,67
1,2,2,1,-4,677,68
2,3,2,0,-3,677,69
2,3,1,0,2,677,70
1,2,1,1,-3,677,71
2,3,2,1,-4,677,72
2,3,2,1,-2,677,73
2,3,1,0,2,677,74
2,3,2,0,-1,677,75
2,3,1,0,4,677,76
2,3,1,0,2,677,77
2,3,1,0,2,677,78
2,3,1,0,2,677,79
2,3,1,0,3,677,80
2,3,1,0,2,677,81
2,3,1,0,5,677,82
2,3,1,0,5,677,83
2,2,1,0,-2,677,84
2,3,1,0,1,677,85
1,2,2,0,-5,677,86
2,3,1,0,1,677,87
2,3,1,0,-1,677,88
2,3,1,0,0,677,89
2,3,1,0,-2,677,90
2,3,1,0,-2,677,91
2,2,1,0,3,677,92
2,3,1,0,4,677,93
2,3,1,0,4,677,94
2,3,1,0,3,677,95
2,3,1,0,2,677,96
2,3,1,0,5,677,97
2,3,1,0,5,677,98
2,3,1,0,4,677,99
2,3,1,0,3,677,100
2,3,1,0,3,677,101
2,3,1,0,2,677,102
2,3,1,0,0,677,103
2,2,1,0,-4,677,104
2,3,1,0,-1,677,105
2,2,1,0,-5,677,106
2,2,1,0,-5,677,107
2,3,1,0,-5,677,108
2,3,2,0,3,677,109
2,3,1,1,0,677,110
2,3,1,1,0,677,111
2,3,1,1,1,677,112
2,3,1,1,1,677,113
2,3,1,1,0,677,114
1,3,1,1,-1,677,115
2,3,1,1,-4,677,116
1,2,1,1,-4,677,117
1,2,1,1,-5,677,118
1,2,1,1,-5,677,119
2,3,1,1,-3,677,120
2,3,1,1,-1,677,121
1,2,1,0,-4,677,122
1,2,1,0,-4,677,123
2,3,1,1,-4,677,124
2,3,1,1,-4,677,125
2,3,1,1,-1,677,126
2,3,2,1,2,677,127
2,3,2,0,2,677,128
1,2,2,0,0,677,129
2,3,1,0,2,677,130
2,2,2,0,-2,677,131
2,2,2,1,-3,677,132
2,3,2,1,2,677,133
2,2,1,0,-4,677,134
2,2,1,1,-5,677,135
1,2,2,0,-2,677,136
2,3,2,0,5,677,137
2,2,2,0,-3,677,138
2,3,2,0,5,677,139
2,3,2,0,3,677,140
2,2,2,0,-4,677,141
2,3,2,0,-1,677,142
2,2,2,0,-2,677,143
2,3,2,0,5,677,144
2,3,2,0,5,677,145
2,3,2,0,5,677,146
2,3,2,0,2,677,147
2,3,2,0,2,677,148
2,2,2,0,0,677,149
2,3,2,0,2,677,150
2,3,2,0,1,677,151
2,3,2,0,-1,677,152
2,2,2,0,2,677,153
