Action1,S2,Action2,Re,subject,round,rt2
1,2,1,0,359,1,1
1,2,2,0,359,2,1
2,2,1,0,359,3,1
1,2,1,0,359,4,1
1,2,2,0,359,5,1
2,2,1,1,359,6,1
1,2,2,0,359,7,1
2,3,1,1,359,8,1
2,2,2,0,359,9,1
1,2,1,1,359,10,1
2,3,1,0,359,11,1
1,2,1,0,359,12,1
2,3,1,0,359,13,1
1,3,2,0,359,14,1
2,2,1,0,359,15,1
1,2,1,0,359,16,1
2,3,1,0,359,17,1
1,2,2,0,359,18,1
2,3,2,1,359,19,1
1,3,1,0,359,20,1
2,3,2,1,359,21,1
2,3,1,1,359,22,1
1,2,1,0,359,23,1
2,3,2,1,359,24,1
1,2,1,0,359,25,1
2,3,2,1,359,26,1
2,3,1,0,359,27,1
1,2,2,1,359,28,1
2,3,1,0,359,29,1
1,2,2,0,359,30,1
2,2,2,0,359,31,1
1,2,1,0,359,32,1
2,3,2,1,359,33,1
2,3,2,1,359,34,1
1,2,2,0,359,35,1
2,3,1,1,359,36,1
2,3,2,1,359,37,1
2,3,1,1,359,38,1
2,3,2,1,359,39,1
2,3,1,1,359,40,1
1,2,1,0,359,41,1
2,3,2,1,359,42,1
1,2,2,0,359,43,1
2,3,2,1,359,44,1
2,3,1,1,359,45,1
2,3,1,1,359,46,1
2,2,2,0,359,47,1
2,3,1,1,359,48,1
2,3,1,1,359,49,1
2,3,2,1,359,50,1
2,3,2,1,359,51,1
2,2,2,1,359,52,1
2,3,1,0,359,53,1
1,2,2,1,359,54,1
2,3,2,1,359,55,1
1,2,1,1,359,56,1
2,3,2,1,359,57,1
1,2,1,1,359,58,1
2,3,2,1,359,59,1
1,2,2,0,359,60,1
2,3,1,1,359,61,1
1,2,2,1,359,62,1
2,2,1,1,359,63,1
1,2,2,0,359,64,1
2,3,2,0,359,65,1
1,3,1,0,359,66,1
2,2,2,0,359,67,1
1,3,1,1,359,68,1
2,3,2,1,359,69,1
2,3,1,1,359,70,1
1,2,1,0,359,71,1
2,3,2,1,359,72,1
2,3,1,1,359,73,1
1,2,1,1,359,74,1
2,3,2,0,359,75,1
1,2,1,1,359,76,1
2,3,1,1,359,77,1
1,2,2,0,359,78,1
2,2,1,0,359,79,1
1,2,1,1,359,80,1
2,3,2,1,359,81,1
1,2,1,0,359,82,1
2,2,2,0,359,83,1
1,2,1,0,359,84,1
2,3,2,0,359,85,1
2,3,1,1,359,86,1
2,3,2,1,359,87,1
2,3,1,0,359,88,1
1,2,1,0,359,89,1
2,3,2,1,359,90,1
1,3,1,0,359,91,1
2,3,2,1,359,92,1
2,3,1,0,359,93,1
2,3,2,0,359,94,1
1,2,1,0,359,95,1
2,2,2,1,359,96,1
1,2,2,0,359,97,1
2,3,1,0,359,98,1
1,2,1,0,359,99,1
2,3,2,0,359,100,1
2,3,2,1,359,101,1
1,3,1,1,359,102,1
2,2,2,1,359,103,1
1,2,2,0,359,104,1
2,3,1,1,359,105,1
1,2,2,1,359,106,1
2,3,1,0,359,107,1
1,2,2,1,359,108,1
2,3,1,0,359,109,1
1,2,2,0,359,110,1
2,3,1,1,359,111,1
1,2,2,1,359,112,1
2,3,1,0,359,113,1
2,3,1,1,359,114,1
1,2,2,1,359,115,1
2,3,1,0,359,116,1
1,2,2,0,359,117,1
1,2,2,0,359,118,1
2,3,2,1,359,119,1
1,2,1,0,359,120,1
2,3,2,0,359,121,1
1,2,1,0,359,122,1
2,3,2,0,359,123,1
1,2,2,1,359,124,1
2,3,1,1,359,125,1
1,2,1,0,51,1,1
1,2,2,1,51,2,1
1,3,1,1,51,3,1
1,2,2,1,51,4,1
2,3,1,1,51,5,1
2,3,1,1,51,6,1
1,2,2,1,51,7,1
1,2,2,0,51,8,1
2,3,1,0,51,9,1
1,2,2,0,51,10,1
1,2,2,1,51,11,1
2,3,1,0,51,12,1
2,3,1,0,51,13,1
2,2,2,1,51,14,1
2,3,2,1,51,15,1
2,3,2,0,51,16,1
2,3,2,0,51,17,1
1,2,2,0,51,18,1
1,2,2,1,51,19,1
1,3,2,1,51,20,1
2,3,1,1,51,21,1
2,3,1,1,51,22,1
1,2,2,1,51,23,1
1,3,1,1,51,24,1
1,2,2,1,51,25,1
1,3,2,1,51,26,1
1,2,2,1,51,27,1
2,2,2,0,51,28,1
2,3,2,0,51,29,1
2,3,1,0,51,30,1
2,2,2,1,51,31,1
2,3,1,0,51,32,1
1,2,2,0,51,33,1
1,2,2,1,51,34,1
1,2,2,1,51,35,1
2,2,2,1,51,36,1
2,3,2,1,51,37,1
2,2,2,0,51,38,1
1,3,2,1,51,39,1
2,3,2,1,51,40,1
1,2,2,0,51,41,1
2,3,1,1,51,42,1
2,3,2,0,51,43,1
2,3,2,0,51,44,1
1,3,1,0,51,45,1
1,3,1,1,51,46,1
2,2,2,1,51,47,1
1,2,2,0,51,48,1
1,3,1,0,51,49,1
1,3,1,1,51,50,1
2,3,1,1,51,51,1
2,2,2,1,51,52,1
1,2,2,0,51,53,1
1,2,2,1,51,54,1
1,3,1,0,51,55,1
2,3,1,0,51,56,1
2,3,2,1,51,57,1
2,3,2,0,51,58,1
2,3,2,1,51,59,1
2,3,2,0,51,60,1
1,3,2,1,51,61,1
1,2,2,1,51,62,1
2,2,2,0,51,63,1
2,3,1,0,51,64,1
1,2,2,1,51,65,1
1,2,1,0,51,66,1
2,3,2,1,51,67,1
2,3,2,1,51,68,1
1,3,2,0,51,69,1
1,2,2,1,51,70,1
2,3,2,0,51,71,1
1,2,2,1,51,72,1
1,2,2,1,51,73,1
1,2,2,1,51,74,1
1,2,2,1,51,75,1
2,3,2,1,51,76,1
2,3,2,0,51,77,1
1,3,2,1,51,78,1
2,3,2,0,51,79,1
1,2,2,0,51,80,1
1,2,2,0,51,81,1
2,3,2,1,51,82,1
1,2,2,0,51,83,1
1,2,2,0,51,84,1
1,2,2,0,51,85,1
1,3,2,0,51,86,1
1,2,1,0,51,87,1
1,2,2,1,51,88,1
2,3,2,0,51,89,1
1,3,1,0,51,90,1
1,2,2,1,51,91,1
2,3,1,1,51,92,1
2,3,1,1,51,93,1
2,3,1,1,51,94,1
2,3,1,1,51,95,1
2,3,1,0,51,96,1
1,2,2,1,51,97,1
2,2,2,0,51,98,1
2,3,1,1,51,99,1
1,3,1,0,51,100,1
1,2,2,1,51,101,1
1,2,2,0,51,102,1
1,2,2,0,51,103,1
2,3,1,0,51,104,1
2,3,2,0,51,105,1
1,2,2,0,51,106,1
2,3,1,0,51,107,1
1,2,2,1,51,108,1
1,2,2,0,51,109,1
2,3,1,0,51,110,1
2,2,1,1,51,111,1
2,3,2,1,51,112,1
2,2,2,0,51,113,1
2,3,2,0,51,114,1
1,2,1,0,51,115,1
1,2,1,0,51,116,1
2,3,1,0,51,117,1
1,3,2,1,51,118,1
2,3,2,0,51,119,1
2,3,2,1,51,120,1
2,3,2,0,51,121,1
2,3,2,0,51,122,1
2,3,2,0,51,123,1
2,3,1,0,51,124,1
1,2,2,1,51,125,1
1,2,2,0,954,1,1
1,2,2,1,954,2,1
1,2,2,0,954,3,1
