Action1,S2,Action2,Re,subject,round,rt2
1,3,2,0,876,74,1
1,2,1,1,876,75,1
1,3,2,0,876,76,1
1,2,1,1,876,77,1
1,2,1,0,876,78,1
2,3,1,1,876,79,1
1,2,1,1,876,80,1
1,2,1,0,876,81,1
1,3,1,0,876,82,1
2,2,1,0,876,83,1
1,2,2,1,876,84,1
1,2,1,0,876,85,1
1,2,2,1,876,86,1
1,2,2,0,876,87,1
2,2,2,0,876,88,1
1,2,2,0,876,89,1
2,3,2,1,876,90,1
2,3,2,1,876,91,1
2,3,2,0,876,92,1
2,3,1,0,876,93,1
1,2,2,0,876,94,1
2,3,2,0,876,95,1
2,3,2,0,876,96,1
1,2,2,1,876,97,1
1,3,1,1,876,98,1
1,2,1,1,876,99,1
1,3,2,0,876,100,1
1,2,1,0,876,101,1
2,3,1,1,876,102,1
2,3,1,0,876,103,1
2,3,1,0,876,104,1
1,3,2,0,876,105,1
1,2,1,0,876,106,1
2,3,1,0,876,107,1
1,2,2,1,876,108,1
1,2,2,0,876,109,1
1,2,2,0,876,110,1
2,2,2,0,876,111,1
1,2,1,1,876,112,1
1,2,1,1,876,113,1
1,2,1,0,876,114,1
1,3,2,0,876,115,1
1,2,1,1,876,116,1
1,2,1,0,876,117,1
1,2,1,1,876,118,1
1,2,1,0,876,119,1
1,2,2,0,876,120,1
1,3,1,0,876,121,1
1,2,2,1,876,122,1
1,2,1,1,876,123,1
1,2,1,0,876,124,1
1,3,2,0,876,125,1
2,3,2,1,605,1,1
2,3,2,1,605,2,1
2,3,2,0,605,3,1
2,3,2,1,605,4,1
2,3,2,1,605,5,1
2,3,2,1,605,6,1
2,3,2,0,605,7,1
1,2,2,0,605,8,1
2,3,2,1,605,9,1
2,3,2,0,605,10,1
2,3,2,1,605,11,1
2,2,2,0,605,12,1
2,2,2,0,605,13,1
2,2,2,0,605,14,1
2,3,2,1,605,15,1
2,2,2,0,605,16,1
2,3,2,0,605,17,1
2,3,2,0,605,18,1
1,2,1,0,605,19,1
1,2,2,1,605,20,1
1,2,2,1,605,21,1
1,3,2,1,605,22,1
1,2,2,0,605,23,1
1,2,2,1,605,24,1
1,2,2,0,605,25,1
1,3,2,1,605,26,1
2,3,2,1,605,27,1
1,2,2,0,605,28,1
2,3,2,0,605,29,1
2,3,2,0,605,30,1
2,3,2,0,605,31,1
2,2,1,1,605,32,1
1,3,1,0,605,33,1
2,2,1,1,605,34,1
1,3,1,1,605,35,1
2,3,1,1,605,36,1
2,3,1,1,605,37,1
1,2,1,1,605,38,1
2,3,1,0,605,39,1
1,3,1,0,605,40,1
1,2,1,0,605,41,1
1,3,1,0,605,42,1
1,2,1,0,605,43,1
2,3,1,0,605,44,1
2,3,1,1,605,45,1
2,3,1,1,605,46,1
2,3,1,0,605,47,1
1,2,1,1,605,48,1
1,2,1,0,605,49,1
1,2,1,1,605,50,1
1,2,1,1,605,51,1
1,2,1,0,605,52,1
1,2,1,1,605,53,1
1,2,1,0,605,54,1
1,2,1,0,605,55,1
1,2,2,1,605,56,1
1,2,2,0,605,57,1
1,2,2,1,605,58,1
2,3,1,0,605,59,1
2,3,1,0,605,60,1
1,2,2,1,605,61,1
1,2,2,0,605,62,1
2,3,2,0,605,63,1
2,3,2,0,605,64,1
1,2,2,0,605,65,1
1,3,1,1,605,66,1
1,3,2,1,605,67,1
1,3,2,0,605,68,1
2,3,1,0,605,69,1
2,3,1,0,605,70,1
1,2,1,0,605,71,1
1,2,2,1,605,72,1
1,2,2,0,605,73,1
1,2,2,1,605,74,1
1,2,2,0,605,75,1
1,3,2,1,605,76,1
1,2,2,1,605,77,1
1,2,2,1,605,78,1
1,2,2,1,605,79,1
1,2,2,0,605,80,1
1,3,2,1,605,81,1
1,2,2,1,605,82,1
1,2,2,1,605,83,1
1,2,2,1,605,84,1
1,2,2,1,605,85,1
1,2,2,1,605,86,1
1,2,2,0,605,87,1
2,3,2,0,605,88,1
2,3,2,1,605,89,1
1,2,2,1,605,90,1
2,2,2,1,605,91,1
2,3,2,1,605,92,1
1,2,2,1,605,93,1
2,3,2,1,605,94,1
2,3,2,1,605,95,1
2,3,2,1,605,96,1
1,2,2,0,605,97,1
2,3,2,0,605,98,1
1,3,2,1,605,99,1
1,2,2,0,605,100,1
1,2,2,1,605,101,1
1,2,2,1,605,102,1
1,3,2,1,605,103,1
1,3,2,1,605,104,1
1,2,2,0,605,105,1
1,2,1,0,605,106,1
1,3,2,0,605,107,1
1,2,2,1,605,108,1
2,2,2,1,605,109,1
2,3,2,0,605,110,1
1,2,2,1,605,111,1
1,3,1,1,605,112,1
1,2,2,0,605,113,1
1,2,2,1,605,114,1
1,2,2,0,605,115,1
2,2,2,1,605,116,1
2,3,1,1,605,117,1
1,3,1,0,605,118,1
2,3,1,0,605,119,1
1,2,2,0,605,120,1
2,2,1,1,605,121,1
2,3,1,1,605,122,1
2,3,1,1,605,123,1
2,3,1,1,605,124,1
2,3,1,1,605,125,1
2,3,1,0,664,1,1
1,2,1,0,664,2,1
1,2,1,0,664,3,1
1,2,1,0,664,4,1
1,2,1,0,664,5,1
1,2,1,0,664,6,1
1,2,1,1,664,7,1
1,3,1,1,664,8,1
1,2,1,0,664,9,1
1,3,1,1,664,10,1
1,2,1,0,664,11,1
1,2,1,1,664,12,1
1,2,1,1,664,13,1
1,2,1,0,664,14,1
1,2,1,0,664,15,1
1,2,1,1,664,16,1
1,2,1,0,664,17,1
2,3,1,0,664,18,1
2,3,1,0,664,19,1
1,2,1,0,664,20,1
1,2,1,1,664,21,1
1,2,1,1,664,22,1
1,3,1,0,664,23,1
1,3,1,0,664,24,1
2,3,1,0,664,25,1
2,3,1,1,664,26,1
2,3,1,1,664,27,1
2,3,1,1,664,28,1
2,2,1,0,664,29,1
2,2,1,0,664,30,1
2,3,1,1,664,31,1
2,3,1,1,664,32,1
2,3,1,1,664,33,1
2,3,1,1,664,34,1
2,3,1,1,664,35,1
2,3,1,1,664,36,1
2,3,1,1,664,37,1
2,3,1,1,664,38,1
2,3,1,1,664,39,1
2,3,1,0,664,40,1
2,2,1,1,664,41,1
2,3,1,0,664,42,1
1,2,1,0,664,43,1
2,3,2,1,664,44,1
2,3,2,0,664,45,1
2,3,2,0,664,46,1
2,3,1,0,664,47,1
2,3,2,1,664,48,1
2,3,2,1,664,49,1
2,3,2,0,664,50,1
2,3,2,0,664,51,1
2,3,2,0,664,52,1
1,2,1,1,664,53,1
1,3,1,0,664,54,1
1,2,1,1,664,55,1
1,2,1,1,664,56,1
1,2,1,1,664,57,1
1,2,1,1,664,58,1
1,2,1,1,664,59,1
1,2,1,1,664,60,1
1,2,1,1,664,61,1
1,2,1,1,664,62,1
