"subject","version","rt1","key1","Action1","rt2","key2","Action2","Re","common","S2","score","practice","reverse_mapping_1","reverse_mapping_2","timeouts","vals","trial_index","time_elapsed","stamp","rews1a1","rews1a2","rews2a1","rews2a2"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","155","74","2","441","70","1","-1","1","3","156","0","0","0","0","3,0,-1,4,-1,-1","43","0","2017-08-15 17:35:16","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","267","70","1","416","70","1","3","1","2","159","0","0","0","0","3,0,-4,4,-2,-2","44","0","2017-08-15 17:35:21","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","262","74","2","407","70","1","-5","1","3","154","0","0","0","0","0,0,-5,4,-4,-4","45","0","2017-08-15 17:35:27","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","255","70","1","279","70","1","0","1","2","154","0","0","0","0","0,1,-4,5,-4,-4","46","0","2017-08-15 17:35:32","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","315","70","1","312","74","2","-4","0","4","150","0","0","0","0","-2,1,-3,3,-4,-4","47","0","2017-08-15 17:35:37","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","266","70","1","297","74","2","-3","0","4","147","0","0","0","0","-3,2,2,4,-3,-3","48","0","2017-08-15 17:35:43","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","284","70","1","324","74","2","1","1","2","148","0","0","0","0","-3,1,0,5,-2,-2","49","0","2017-08-15 17:35:48","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","14","70","1","460","70","1","-4","1","2","144","0","0","0","0","-4,2,2,3,-1,-1","50","0","2017-08-15 17:35:53","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","258","74","2","361","70","1","4","1","3","148","0","0","0","0","-3,4,4,5,-2,-2","51","0","2017-08-15 17:35:58","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","281","74","2","329","70","1","2","1","3","150","0","0","0","0","-4,3,2,5,-3,-3","52","0","2017-08-15 17:36:04","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","319","74","2","356","74","2","5","1","3","155","0","0","0","0","-5,2,3,5,-3,-3","53","0","2017-08-15 17:36:09","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","268","74","2","318","70","1","-4","0","4","151","0","0","0","0","-4,1,1,3,-4,-4","54","0","2017-08-15 17:36:14","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","267","74","2","309","74","2","0","1","3","151","0","0","0","0","-1,1,0,0,-3,-3","55","0","2017-08-15 17:36:20","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","68","70","1","410","70","1","1","1","2","152","0","0","0","0","1,0,3,-1,-3,-3","56","0","2017-08-15 17:36:25","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","118","70","1","365","74","2","1","1","2","153","0","0","0","0","3,1,2,-3,-5,-5","57","0","2017-08-15 17:36:30","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","376","70","1","268","70","1","4","1","2","157","0","0","0","0","4,1,3,0,-4,-4","58","0","2017-08-15 17:36:36","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","89","70","1","248","70","1","4","1","2","161","0","0","0","0","4,2,1,0,-2,-2","59","0","2017-08-15 17:36:41","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","296","70","1","263","70","1","0","1","2","161","0","0","0","0","0,1,-2,3,-3,-3","60","0","2017-08-15 17:36:46","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","281","70","1","330","74","2","2","1","2","163","0","0","0","0","3,2,-5,5,-4,-4","61","0","2017-08-15 17:36:51","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","271","70","1","283","70","1","2","1","2","165","0","0","0","0","2,2,-3,5,-4,-4","62","0","2017-08-15 17:36:57","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","1095","70","1","298","74","2","4","1","2","169","0","0","0","0","3,4,-3,5,-1,-1","63","0","2017-08-15 17:37:03","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","1587","70","1","573","74","2","4","1","2","173","0","0","0","1","3,4,-2,2,-1,-1","64","0","2017-08-15 17:37:11","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","362","70","1","324","70","1","4","1","2","177","0","0","0","0","4,3,-3,2,-1,-1","65","0","2017-08-15 17:37:17","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","444","70","1","603","74","2","2","1","2","179","0","0","0","0","2,2,-3,0,-3,-3","66","0","2017-08-15 17:37:23","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","319","70","1","1600","70","1","2","1","2","181","0","0","0","0","2,4,0,-2,-3,-3","67","0","2017-08-15 17:37:29","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","341","70","1","508","74","2","3","1","2","184","0","0","0","0","0,3,3,-4,-3,-3","68","0","2017-08-15 17:37:35","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","639","70","1","386","70","1","-1","0","4","183","0","0","0","0","2,5,2,-5,-1,-1","69","0","2017-08-15 17:37:40","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","1149","70","1","486","74","2","-3","0","4","180","0","0","0","0","2,4,-1,-3,-3,-3","70","0","2017-08-15 17:37:47","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","321","70","1","429","70","1","3","1","2","183","0","0","0","0","3,3,-2,-2,-1,-1","71","0","2017-08-15 17:37:52","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","369","70","1","990","74","2","4","1","2","187","0","0","0","0","1,4,-2,-5,-2,-2","72","0","2017-08-15 17:37:58","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","17","70","1","207","74","2","4","1","2","191","0","0","0","0","-2,4,-1,-3,-3,-3","73","0","2017-08-15 17:38:03","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","1191","74","2","311","74","2","-2","1","3","189","0","0","0","0","-1,4,1,-2,-2,-2","74","0","2017-08-15 17:38:09","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","439","70","1","431","74","2","1","1","2","190","0","0","0","0","0,1,3,-1,-2,-2","75","0","2017-08-15 17:38:15","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","302","70","1","436","70","1","-1","0","4","189","0","0","0","0","1,1,4,0,-1,-1","76","0","2017-08-15 17:38:20","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","476","70","1","434","74","2","-1","0","4","188","0","0","0","0","-1,2,4,-1,-1,-1","77","0","2017-08-15 17:38:26","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","661","74","2","733","70","1","-3","0","4","185","0","0","0","0","-1,2,2,1,-3,-3","78","0","2017-08-15 17:38:32","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","841","74","2","1533","74","2","1","0","4","186","0","0","0","0","-4,-1,4,0,1,1","79","0","2017-08-15 17:38:39","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","661","74","2","965","74","2","0","1","3","186","0","0","0","0","-4,1,4,0,-4,-4","80","0","2017-08-15 17:38:46","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","584","74","2","667","70","1","-1","0","4","185","0","0","0","0","-5,-1,4,3,-1,-1","81","0","2017-08-15 17:38:52","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","473","74","2","572","70","1","-2","0","4","183","0","0","0","0","-5,1,3,4,-2,-2","82","0","2017-08-15 17:38:57","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","1018","70","1","359","70","1","-4","1","2","179","0","0","0","0","-4,-1,1,4,-3,-3","83","0","2017-08-15 17:39:03","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","612","70","1","562","70","1","-4","1","2","175","0","0","0","0","-4,-1,3,3,-2,-2","84","0","2017-08-15 17:39:09","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","263","74","2","318","70","1","3","1","3","178","0","0","0","0","-5,-4,3,3,-4,-4","85","0","2017-08-15 17:39:15","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","250","74","2","445","74","2","3","1","3","181","0","0","0","0","-4,-4,2,3,-3,-3","86","0","2017-08-15 17:39:20","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","108","74","2","715","74","2","2","1","3","183","0","0","0","0","-5,-3,4,2,-5,-5","87","0","2017-08-15 17:39:26","0","0","0","0"
"A23GB80BDI6PPL","dez_1b_fix_v2_pilot1","2036","70","1","1165","70","1","-1","1","2","-1","1","0","0","0","-1,0,-2,-4,-2,-2","0","0","2017-08-15 17:39:29","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","735","74","2","692","70","1","-3","0","4","180","0","0","0","0","-3,-4,3,4,-3,-3","88","0","2017-08-15 17:39:32","0","0","0","0"
"A23GB80BDI6PPL","dez_1b_fix_v2_pilot1","589","74","2","828","74","2","-2","1","3","-3","1","0","0","0","-1,1,-5,-2,-1,-1","1","0","2017-08-15 17:39:36","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","462","70","1","911","70","1","-4","1","2","176","0","0","0","0","-4,-3,1,4,-2,-2","89","0","2017-08-15 17:39:38","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","3","74","2","337","74","2","5","1","3","181","0","0","0","0","-5,0,1,5,-4,-4","90","0","2017-08-15 17:39:43","0","0","0","0"
"A23GB80BDI6PPL","dez_1b_fix_v2_pilot1","677","70","1","1152","74","2","-3","0","4","-6","1","0","0","0","-2,2,-3,-1,-3,-3","2","0","2017-08-15 17:39:43","0","0","0","0"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","313","74","2","358","74","2","1","1","3","182","0","0","0","0","-3,1,0,1,-5,-5","91","0","2017-08-15 17:39:48","0","0","0","0"
