"subject","version","age","sex","bonus","assignmentId","time_elapsed","reading_time","check1","check2","check3","belief1","belief2","belief3","stamp"
"A2VRDE2FHCBMF8","dez_1b_fix_v2_pilot1","38","m","1.04","3BV8HQ2ZZW2YCNTAG1WRHJC09U2A6Y","1533082","161991","0","1","2","2","0","0","2017-08-15 17:48:14"
"A23GB80BDI6PPL","dez_1b_fix_v2_pilot1","31","f","0.9","36NEMU28XFEX83H54MZ0O46DRDKMWV","1461004","109428","0","1","3","2","0","0","2017-08-15 18:01:28"
"A1Z0O5MC9DAE8C","dez_1b_fix_v2_pilot1","31","f","1.07","3MHW492WW0EKTEH0ECU422NZK4IMVL","1397075","108418","0","1","2","2","0","0","2017-08-15 19:42:09"
"A13PXTFOXDCKBF","dez_1b_fix_v2_pilot1","32","m","0.55","3IX2EGZR7BK2ZZUY2VC2LD6FV4ARJT","1844786","310155","0","1","2","3","0","0","2017-08-15 20:01:59"
"AROOCBM042SJD","dez_1b_fix_v2_pilot1","32","f","0.36","3WJ1OXY92AHLG1CY9GTP1X8RFPSA8K","2039405","219201","3","1","2","2","0","0","2017-08-15 21:20:24"
