Action1,S2,Action2,rt2,Re,subject,round
2,3,1,1,4,197,1
2,3,1,1,4,197,2
2,3,1,1,3,197,3
2,3,1,0,4,197,4
2,3,1,1,2,197,5
2,3,1,0,0,197,6
2,3,2,0,2,197,7
2,3,2,0,-2,197,8
2,3,2,0,-2,197,9
2,3,2,1,0,197,10
2,3,2,1,0,197,11
2,4,1,1,0,197,12
2,4,1,1,-3,197,13
2,3,1,0,4,197,14
2,3,1,0,2,197,15
2,4,1,1,-4,197,16
2,4,1,1,-5,197,17
1,2,1,0,0,197,18
2,4,1,0,-4,197,19
2,3,1,1,2,197,20
1,4,1,0,0,197,21
2,3,1,0,3,197,22
2,3,1,0,3,197,23
2,3,1,0,0,197,24
2,3,1,1,-3,197,25
1,4,2,0,0,197,26
1,4,2,1,3,197,27
1,2,2,1,-4,197,28
2,3,2,1,-2,197,29
2,3,2,1,0,197,30
1,4,2,1,0,197,31
2,3,1,0,5,197,32
2,3,1,0,4,197,33
2,3,1,0,0,197,34
2,4,1,0,4,197,35
2,3,1,0,0,197,36
2,3,2,0,0,197,37
2,3,1,0,-4,197,38
2,3,1,0,-3,197,39
1,2,1,0,0,197,40
2,3,1,0,2,197,41
2,3,1,0,2,197,42
1,2,1,1,-3,197,43
2,3,2,0,5,197,44
1,2,1,0,-5,197,45
2,3,2,0,2,197,46
2,3,2,0,3,197,47
2,4,2,0,0,197,48
2,3,2,0,0,197,49
1,2,2,1,-4,197,50
1,2,1,0,-4,197,51
2,3,1,0,2,197,52
2,3,1,0,3,197,53
2,3,1,0,2,197,54
2,3,1,0,3,197,55
2,3,1,0,2,197,56
2,3,1,0,2,197,57
2,3,1,0,0,197,58
2,3,2,1,0,197,59
2,4,2,0,2,197,60
2,3,1,1,0,197,61
2,3,1,1,0,197,62
2,3,1,1,4,197,63
2,3,1,1,5,197,64
2,3,1,1,4,197,65
2,4,1,1,2,197,66
2,3,1,1,0,197,67
2,3,2,0,0,197,68
2,3,2,0,2,197,69
2,3,1,0,0,197,70
2,3,2,0,4,197,71
2,4,2,0,3,197,72
2,3,2,1,0,197,73
2,3,2,1,2,197,74
2,4,2,1,0,197,75
2,4,2,1,0,197,76
2,4,2,1,0,197,77
2,3,2,1,2,197,78
2,3,2,0,2,197,79
1,2,1,1,3,197,80
2,3,1,0,0,197,81
2,3,1,0,-5,197,82
2,3,1,1,-3,197,83
2,3,1,1,-4,197,84
1,2,1,0,5,197,85
1,4,2,1,0,197,86
2,3,2,0,0,197,87
2,3,2,1,0,197,88
2,3,2,0,2,197,89
2,3,1,0,-3,197,90
2,4,2,0,0,197,91
2,3,2,1,-3,197,92
1,2,1,1,-4,197,93
2,3,2,0,0,197,94
2,3,2,0,0,197,95
1,4,1,0,-4,197,96
1,2,1,0,0,197,97
2,4,2,1,-4,197,98
1,2,1,0,2,197,99
2,3,2,1,-3,197,100
1,2,1,0,3,197,101
1,4,1,1,-4,197,102
1,2,1,0,2,197,103
1,2,1,0,4,197,104
1,2,1,1,4,197,105
1,2,1,1,2,197,106
1,2,1,1,3,197,107
1,2,1,1,4,197,108
1,2,1,1,5,197,109
1,4,1,1,-3,197,110
1,4,1,0,-2,197,111
1,2,1,0,4,197,112
1,2,1,0,4,197,113
1,2,1,0,3,197,114
1,4,1,0,4,197,115
1,2,1,0,-2,197,116
1,2,1,0,0,197,117
2,3,2,1,-4,197,118
1,2,1,1,0,197,119
1,2,1,1,0,197,120
1,2,1,1,0,197,121
1,2,1,1,0,197,122
1,2,2,0,-2,197,123
1,2,2,0,-4,197,124
1,2,1,0,0,197,125
1,4,1,0,4,197,126
1,2,1,0,-2,197,127
1,2,1,0,-2,197,128
1,2,1,0,0,197,129
1,2,1,1,0,197,130
1,2,1,1,0,197,131
1,2,1,1,-4,197,132
2,4,1,1,0,197,133
2,3,1,0,2,197,134
2,3,2,1,-4,197,135
1,2,2,0,-2,197,136
1,2,2,0,-2,197,137
1,4,2,1,0,197,138
2,3,2,1,-4,197,139
2,3,2,1,-5,197,140
2,3,1,1,5,197,141
2,3,1,0,4,197,142
2,3,1,0,4,197,143
2,3,1,0,4,197,144
2,3,1,0,4,197,145
2,3,1,0,3,197,146
2,3,1,1,4,197,147
2,3,1,0,4,197,148
2,4,1,0,-3,197,149
2,3,1,0,4,197,150
2,4,1,1,-3,197,151
2,3,1,0,4,197,152
2,3,1,0,5,197,153
2,3,1,0,5,197,154
2,3,1,0,4,197,155
2,3,1,0,4,197,156
2,3,1,0,2,197,157
2,3,1,1,2,197,158
2,3,1,1,2,197,159
2,4,1,1,-4,197,160
2,3,1,0,4,197,161
2,4,1,0,-3,197,162
2,4,1,0,-2,197,163
2,3,1,1,-3,197,164
2,3,1,1,-2,197,165
2,3,1,0,3,197,166
2,3,1,0,4,197,167
2,3,1,0,2,197,168
2,3,1,0,4,197,169
2,3,1,0,0,197,170
2,3,1,0,0,197,171
2,3,1,0,-3,197,172
2,3,1,1,-4,197,173
2,3,1,1,-5,197,174
1,4,1,1,3,197,175
2,3,1,0,-4,441,1
2,3,1,1,0,441,2
2,4,2,0,4,441,3
2,3,2,0,-3,441,4
1,2,1,0,4,441,5
1,2,1,0,0,441,6
1,2,1,0,0,441,7
1,4,2,0,0,441,8
1,2,2,0,4,441,9
1,2,2,0,2,441,10
1,2,2,0,3,441,11
1,2,2,0,0,441,12
1,4,2,0,-3,441,13
2,3,1,0,2,441,14
2,3,1,0,-2,441,15
1,2,1,0,-3,441,16
2,4,1,0,5,441,17
1,2,2,0,-3,441,18
1,2,2,0,-5,441,19
2,3,1,0,0,441,20
2,4,1,0,4,441,21
2,3,1,0,0,441,22
2,3,1,0,2,441,23
2,3,1,0,4,441,24
2,4,1,0,4,441,25
2,3,1,0,5,441,26
2,3,1,0,3,441,27
2,4,1,0,0,441,28
2,3,1,0,4,441,29
2,3,1,1,0,441,30
2,3,2,1,2,441,31
2,3,2,0,3,441,32
2,3,2,0,3,441,33
2,3,2,0,4,441,34
2,3,2,0,0,441,35
2,3,2,0,0,441,36
2,3,2,0,-2,441,37
2,3,1,0,-2,441,38
2,3,1,0,-4,441,39
2,3,1,1,-4,441,40
