Action1,S2,Action2,Re,subject,round,rt2
2,4,2,3,481,1,1
1,2,2,-1,481,2,1
1,2,2,-1,481,3,1
1,2,2,-2,481,4,1
1,4,2,5,481,5,1
1,2,2,0,481,6,1
1,4,2,4,481,7,1
1,2,2,5,481,8,1
1,2,2,5,481,9,1
1,2,2,3,481,10,1
1,2,2,2,481,11,1
1,2,2,4,481,12,1
1,2,2,5,481,13,1
1,4,2,2,481,14,1
1,2,2,1,481,15,1
1,4,2,2,481,16,1
1,2,2,2,481,17,1
1,2,2,1,481,18,1
1,2,2,0,481,19,1
2,3,2,4,481,20,0
2,4,2,1,481,21,0
2,3,2,3,481,22,0
2,4,2,-1,481,23,0
2,3,2,4,481,24,0
2,3,2,4,481,25,0
2,3,2,5,481,26,0
2,4,2,4,481,27,0
2,3,2,3,481,28,0
2,3,2,4,481,29,0
2,3,2,4,481,30,0
2,3,2,5,481,31,0
2,4,2,0,481,32,0
2,3,2,2,481,33,0
2,3,2,1,481,34,0
2,4,2,-3,481,35,0
2,3,2,5,481,36,0
2,3,2,2,481,37,0
2,3,2,2,481,38,0
2,4,2,0,481,39,0
1,2,2,-3,481,40,1
1,2,2,-2,481,41,1
1,2,2,-3,481,42,1
2,3,2,2,481,43,1
2,3,2,0,481,44,1
2,3,2,0,481,45,1
2,3,2,0,481,46,1
2,3,2,2,481,47,1
1,2,2,-3,481,48,1
1,2,2,1,481,49,1
1,4,2,-3,481,50,1
1,2,2,1,481,51,1
1,2,2,0,481,52,1
1,4,2,-1,481,53,1
1,2,2,-2,481,54,1
2,3,2,4,481,55,0
2,3,2,4,481,56,0
2,3,2,2,481,57,0
2,3,2,2,481,58,0
2,3,2,2,481,59,0
2,3,2,4,481,60,1
2,3,2,2,481,61,1
2,3,2,-2,481,62,1
2,3,2,-3,481,63,1
1,2,2,1,481,64,0
1,4,2,5,481,65,0
1,2,2,2,481,66,0
1,2,2,1,481,67,0
1,2,2,1,481,68,0
1,2,2,2,481,69,0
1,2,2,4,481,70,1
1,2,2,4,481,71,1
1,2,2,5,481,72,1
1,2,2,4,481,73,1
1,2,2,5,481,74,1
1,2,2,2,481,75,1
1,4,2,1,481,76,1
1,2,2,4,481,77,1
1,2,2,5,481,78,1
1,4,2,-5,481,79,1
1,2,2,5,481,80,1
1,2,2,2,481,81,1
1,2,2,2,481,82,1
1,2,2,4,481,83,1
1,2,2,5,481,84,1
1,2,2,3,481,85,1
1,4,2,-3,481,86,1
1,2,1,-2,481,87,1
1,2,2,3,481,88,1
1,2,2,3,481,89,1
1,4,2,1,481,90,1
1,4,2,2,481,91,1
1,4,2,2,481,92,1
1,2,2,1,481,93,1
1,2,2,2,481,94,1
1,2,2,4,481,95,1
1,2,2,3,481,96,1
1,2,2,3,481,97,1
1,4,2,1,481,98,1
1,2,2,2,481,99,1
1,2,2,2,481,100,1
1,2,2,2,481,101,1
1,4,2,5,481,102,1
1,2,2,2,481,103,1
1,2,2,3,481,104,1
1,2,2,3,481,105,1
1,2,2,3,481,106,1
1,2,2,3,481,107,1
1,4,2,0,481,108,1
1,2,2,1,481,109,1
1,2,2,1,481,110,1
1,2,2,1,481,111,1
1,2,2,3,481,112,1
1,2,2,4,481,113,1
1,2,2,4,481,114,1
1,2,2,4,481,115,1
1,2,2,4,481,116,1
1,2,2,4,481,117,1
1,4,2,-1,481,118,1
1,2,2,2,481,119,1
1,2,2,4,481,120,1
1,2,2,4,481,121,1
1,2,2,4,481,122,1
1,2,2,2,481,123,1
1,2,2,2,481,124,1
1,2,2,0,481,125,1
1,2,2,0,3,1,1
1,2,2,1,3,2,0
1,2,2,4,3,3,1
2,3,2,3,3,4,0
1,2,1,-4,3,5,1
1,2,2,3,3,6,1
2,3,2,4,3,7,0
1,4,2,2,3,8,0
1,2,2,0,3,9,0
2,4,2,0,3,10,0
1,2,2,2,3,11,0
1,2,2,3,3,12,0
1,4,2,-3,3,13,1
1,2,2,3,3,14,1
1,2,2,5,3,15,1
1,2,2,5,3,16,0
1,2,1,2,3,17,1
1,2,2,3,3,18,0
1,2,2,4,3,19,1
1,2,2,4,3,20,0
2,4,2,-4,3,21,0
1,2,2,4,3,22,1
2,3,2,-1,3,23,1
1,4,1,0,3,24,1
1,4,2,0,3,25,0
2,3,2,-3,3,26,0
1,2,2,2,3,27,0
2,3,2,-3,3,28,0
1,2,2,-2,3,29,0
1,2,2,-2,3,30,0
1,2,1,3,3,31,1
1,4,1,2,3,32,0
1,2,2,-3,3,33,0
2,3,2,-4,3,34,1
1,2,2,-5,3,35,0
1,2,1,0,3,36,0
1,2,2,-3,3,37,1
1,2,1,-4,3,38,1
1,2,1,-4,3,39,0
2,3,2,0,3,40,0
1,2,2,-2,3,41,0
1,2,2,0,3,42,1
1,4,1,-2,3,43,1
2,3,2,-1,3,44,1
1,2,1,5,3,45,0
2,3,1,-2,3,46,1
1,2,1,4,3,47,0
2,3,2,-1,3,48,0
1,2,2,-3,3,49,0
2,3,1,1,3,50,1
2,3,2,4,3,51,0
1,2,2,-4,3,52,0
1,2,1,5,3,53,0
1,2,1,5,3,54,1
1,4,2,-3,3,55,1
1,2,1,1,3,56,0
1,2,1,1,3,57,1
2,3,2,0,3,58,0
2,4,1,-1,3,59,1
1,2,1,0,3,60,0
2,3,2,1,3,61,0
2,3,1,5,3,62,0
1,2,2,-5,3,63,1
2,4,1,3,3,64,0
1,2,1,-2,3,65,0
1,2,1,-2,3,66,0
1,2,1,-2,3,67,0
2,3,1,5,3,68,0
2,4,2,-1,3,69,0
2,4,1,-1,3,70,0
2,3,2,-3,3,71,1
1,2,1,-1,3,72,1
2,3,2,-5,3,73,0
2,3,1,0,3,74,0
2,3,2,0,3,75,0
2,3,1,2,3,76,0
1,2,2,-4,3,77,0
2,3,2,4,3,78,1
1,2,2,-5,3,79,1
1,2,2,-5,3,80,0
2,3,1,1,3,81,1
2,3,1,2,3,82,0
2,3,1,2,3,83,0
2,4,2,0,3,84,0
2,3,1,5,3,85,0
2,3,1,1,3,86,0
2,3,1,-1,3,87,0
2,3,2,-2,3,88,0
2,3,2,-5,3,89,1
2,3,1,-1,3,90,0
2,4,2,4,3,91,0
2,3,1,-3,3,92,0
1,2,1,0,3,93,0
2,3,2,-1,3,94,0
1,2,1,3,3,95,0
2,4,2,-1,3,96,0
1,4,1,-1,3,97,0
2,3,1,3,3,98,0
