Action1,S2,Action2,Re,subject,round,rt2
1,3,2,0,24,1,1
2,3,1,0,24,2,1
1,2,2,0,24,3,1
2,3,1,0,24,4,1
1,2,2,0,24,5,1
2,3,1,0,24,6,1
1,3,2,0,24,7,1
2,2,1,1,24,8,1
1,2,2,1,24,9,1
2,3,1,1,24,10,1
1,2,2,1,24,11,1
2,3,1,0,24,12,1
1,2,2,0,24,13,1
2,3,1,1,24,14,1
1,2,2,0,24,15,1
2,2,1,1,24,16,1
1,2,1,1,24,17,1
2,3,1,0,24,18,1
1,3,1,1,24,19,1
1,2,2,1,24,20,1
2,3,1,0,24,21,1
1,2,2,1,24,22,1
1,2,1,0,24,23,1
2,3,1,1,24,24,1
1,3,1,1,24,25,1
2,2,2,1,24,26,1
1,2,2,0,24,27,1
2,2,1,0,24,28,1
1,2,2,1,24,29,1
2,3,1,0,24,30,1
1,2,2,1,24,31,1
2,3,1,1,24,32,1
1,2,2,0,24,33,1
2,3,1,1,24,34,1
1,2,2,1,24,35,1
2,3,1,1,24,36,1
1,2,2,1,24,37,1
2,2,2,0,24,38,1
1,2,1,1,24,39,1
1,3,1,1,24,40,1
2,3,1,0,24,41,1
1,2,2,0,24,42,1
2,3,1,1,24,43,1
1,2,1,1,24,44,1
2,3,1,0,24,45,1
1,2,1,1,24,46,1
2,3,2,1,24,47,1
1,2,1,1,24,48,1
2,3,2,0,24,49,1
1,2,1,1,24,50,1
2,3,2,0,24,51,1
1,2,1,1,24,52,1
2,2,1,1,24,53,1
1,2,1,1,24,54,1
2,3,2,0,24,55,1
1,2,1,1,24,56,1
2,3,2,1,24,57,1
1,2,1,0,24,58,1
2,3,2,0,24,59,1
1,2,1,0,24,60,1
2,2,2,0,24,61,1
1,2,1,0,24,62,1
2,2,2,0,24,63,1
1,2,1,0,24,64,1
2,2,2,1,24,65,1
1,2,1,0,24,66,1
2,3,1,1,24,67,1
1,2,2,0,24,68,1
2,3,1,1,24,69,1
1,2,2,0,24,70,1
2,3,1,1,24,71,1
1,2,2,1,24,72,1
2,3,1,1,24,73,1
1,2,2,1,24,74,1
2,3,1,1,24,75,1
1,2,2,1,24,76,1
2,3,1,1,24,77,1
1,3,2,0,24,78,1
2,3,1,1,24,79,1
1,2,2,1,24,80,1
2,3,1,0,24,81,1
1,2,2,0,24,82,1
2,3,1,1,24,83,1
1,2,2,0,24,84,1
2,3,1,0,24,85,1
1,2,2,0,24,86,1
2,3,1,0,24,87,1
1,2,2,1,24,88,1
2,3,1,0,24,89,1
1,2,2,1,24,90,1
2,3,1,1,24,91,1
1,2,2,0,24,92,1
2,3,1,0,24,93,1
1,2,2,0,24,94,1
2,2,1,1,24,95,1
1,2,1,0,24,96,1
2,3,2,0,24,97,1
1,3,1,0,24,98,1
2,3,2,0,24,99,1
2,3,1,1,24,100,1
1,2,2,0,24,101,1
2,3,1,0,24,102,1
1,2,2,1,24,103,1
2,2,1,0,24,104,1
1,2,2,1,24,105,1
2,2,2,1,24,106,1
1,3,1,1,24,107,1
2,3,1,0,24,108,1
1,2,2,0,24,109,1
2,2,2,0,24,110,1
1,3,1,1,24,111,1
2,3,1,0,24,112,1
1,3,1,1,24,113,1
2,3,1,0,24,114,1
1,2,2,0,24,115,1
2,2,1,1,24,116,1
1,2,1,0,24,117,1
2,3,2,0,24,118,1
1,3,1,0,24,119,1
2,3,2,1,24,120,1
1,3,1,0,24,121,1
2,3,2,1,24,122,1
1,2,1,1,24,123,1
2,3,2,1,24,124,1
1,2,1,0,24,125,1
2,3,1,0,252,1,1
