Action1,S2,Action2,Re,subject,round
1,4,1,0,914,1
1,2,1,-3,914,2
1,4,1,1,914,3
1,2,1,0,914,4
1,4,1,-3,914,5
1,4,1,-3,914,6
1,2,2,0,914,7
1,2,2,1,914,8
1,2,2,3,914,9
2,3,2,4,914,10
2,3,2,3,914,11
2,4,2,4,914,12
2,3,2,1,914,13
2,3,2,-1,914,14
2,3,2,-1,914,15
1,4,2,-2,914,16
2,3,1,-5,914,17
2,4,1,3,914,18
2,4,1,4,914,19
2,4,2,2,914,20
2,3,2,1,914,21
2,4,2,2,914,22
2,4,2,5,914,23
2,4,2,4,914,24
2,3,2,0,914,25
2,3,2,1,914,26
2,4,2,5,914,27
2,4,2,4,914,28
2,4,2,2,914,29
2,3,2,4,914,30
2,3,2,4,914,31
2,4,2,4,914,32
2,3,2,0,914,33
2,3,2,0,914,34
2,3,2,-2,914,35
2,4,2,4,914,36
2,3,2,-3,914,37
2,3,2,-3,914,38
2,3,2,-4,914,39
2,3,2,-4,914,40
2,3,2,-4,914,41
1,4,2,5,914,42
1,2,2,-4,914,43
1,2,2,-3,914,44
1,2,2,0,914,45
1,4,2,4,914,46
1,2,2,4,914,47
1,4,2,4,914,48
1,2,1,-5,914,49
2,3,1,-2,914,50
1,2,2,4,914,51
1,2,2,3,914,52
1,2,2,4,914,53
1,2,2,1,914,54
1,2,2,0,914,55
1,4,2,4,914,56
2,4,2,3,914,57
1,2,2,0,914,58
1,2,2,1,914,59
1,2,2,-1,914,60
1,4,2,4,914,61
1,4,2,5,914,62
2,4,2,-2,914,63
1,2,2,-5,914,64
1,4,2,0,914,65
1,2,2,-3,914,66
2,3,1,2,914,67
2,3,1,3,914,68
2,3,1,-1,914,69
2,3,1,-2,914,70
2,3,1,1,914,71
2,3,1,1,914,72
2,3,1,2,914,73
1,2,1,-1,914,74
1,2,1,1,914,75
1,2,1,2,914,76
2,3,1,1,914,77
2,4,2,4,914,78
2,3,1,-2,914,79
2,3,1,-4,914,80
2,3,1,-2,914,81
2,3,1,-2,914,82
2,4,1,4,914,83
2,3,2,-5,914,84
2,4,1,4,914,85
2,3,1,-3,914,86
1,2,1,-1,914,87
1,2,1,2,914,88
1,2,1,1,914,89
1,4,1,3,914,90
2,3,1,1,914,91
2,3,1,1,914,92
2,4,1,1,914,93
2,3,1,-1,914,94
2,3,1,-2,914,95
2,3,1,-2,914,96
2,3,1,1,914,97
2,3,1,0,914,98
2,3,1,-1,914,99
2,3,1,-3,914,100
1,2,1,4,914,101
1,2,1,5,914,102
1,2,1,4,914,103
2,3,1,-4,914,104
1,2,1,4,914,105
1,2,1,4,914,106
1,2,1,3,914,107
1,4,1,0,914,108
2,3,1,5,914,109
1,2,1,5,914,110
1,4,2,-1,914,111
1,2,1,5,914,112
1,2,1,2,914,113
1,2,1,2,914,114
1,2,1,2,914,115
1,2,1,5,914,116
1,2,1,5,914,117
1,2,1,5,914,118
1,2,1,5,914,119
1,2,1,3,914,120
1,2,1,2,914,121
1,2,1,1,914,122
1,4,1,-2,914,123
1,2,1,-2,914,124
1,4,1,0,914,125
1,2,1,-3,914,126
1,2,1,-5,914,127
1,2,1,-5,914,128
2,3,1,-2,914,129
2,3,1,-3,914,130
2,3,1,-1,914,131
1,2,1,-2,914,132
1,2,1,-4,914,133
1,2,1,-2,914,134
2,4,1,2,914,135
2,3,1,2,914,136
2,3,1,2,914,137
2,3,1,1,914,138
2,3,1,-2,914,139
2,3,1,-3,914,140
2,3,1,-2,914,141
2,4,1,-5,914,142
2,3,1,1,914,143
2,3,1,5,914,144
2,3,1,4,914,145
2,4,2,-3,914,146
2,3,1,5,914,147
2,3,1,3,914,148
2,3,1,1,914,149
2,3,1,3,914,150
2,4,1,-3,914,151
2,3,1,1,914,152
2,3,1,-1,914,153
2,3,1,-1,914,154
2,3,1,-2,914,155
2,3,1,-4,914,156
2,3,1,-4,914,157
2,4,1,-2,914,158
1,2,1,-1,914,159
1,2,1,2,914,160
1,2,1,5,914,161
1,2,1,3,914,162
1,2,1,3,914,163
1,4,1,1,914,164
1,2,1,5,914,165
1,4,1,1,914,166
1,4,2,2,914,167
1,2,1,4,914,168
1,2,1,4,914,169
1,2,1,3,914,170
1,4,1,-2,914,171
1,2,1,1,914,172
1,4,1,-4,914,173
1,2,1,-3,914,174
1,2,1,-2,914,175
2,4,1,-1,354,1
2,4,2,-3,354,2
1,4,1,-1,354,3
1,2,2,4,354,4
1,4,2,-1,354,5
1,4,2,4,354,6
1,2,2,-1,354,7
1,4,2,4,354,8
1,2,2,-1,354,9
1,2,2,1,354,10
1,2,2,-4,354,11
1,2,1,-3,354,12
2,3,2,5,354,13
2,3,2,3,354,14
2,3,2,4,354,15
2,4,2,3,354,16
2,4,2,4,354,17
2,3,2,5,354,18
2,3,2,4,354,19
2,4,2,3,354,20
2,3,2,1,354,21
2,3,2,5,354,22
2,3,2,1,354,23
2,3,2,-1,354,24
2,3,1,-4,354,25
1,2,1,-2,354,26
1,2,1,-3,354,27
1,2,1,-1,354,28
1,2,1,-1,354,29
1,2,1,-2,354,30
1,2,1,-5,354,31
2,3,2,-5,354,32
2,3,2,-4,354,33
2,4,2,-2,354,34
2,4,2,0,354,35
2,3,1,-1,354,36
2,3,1,2,354,37
2,4,2,3,354,38
2,3,1,4,354,39
2,3,1,2,354,40
2,3,1,1,354,41
2,3,1,2,354,42
2,3,1,-2,354,43
2,3,1,0,354,44
2,4,2,1,354,45
2,3,1,3,354,46
2,3,1,2,354,47
2,3,1,-1,354,48
2,4,2,3,354,49
2,3,1,1,354,50
2,4,2,5,354,51
2,3,1,1,354,52
2,4,2,5,354,53
2,3,1,3,354,54
2,3,1,3,354,55
2,3,1,4,354,56
2,3,1,2,354,57
2,3,1,3,354,58
2,3,1,3,354,59
2,3,1,5,354,60
2,3,1,2,354,61
2,4,2,2,354,62
2,3,1,3,354,63
2,4,2,3,354,64
2,3,1,2,354,65
2,3,1,1,354,66
2,3,1,4,354,67
2,4,2,4,354,68
2,4,2,0,354,69
2,3,1,2,354,70
2,4,1,-3,354,71
2,3,1,0,354,72
2,3,1,0,354,73
2,4,2,-5,354,74
2,3,1,3,354,75
2,3,1,2,354,76
2,4,1,-4,354,77
2,3,1,4,354,78
2,4,1,4,354,79
2,3,1,3,354,80
2,3,1,4,354,81
2,4,1,2,354,82
2,3,1,1,354,83
2,3,1,4,354,84
2,3,1,3,354,85
2,3,1,3,354,86
2,4,1,0,354,87
2,3,1,3,354,88
2,3,1,3,354,89
2,3,1,1,354,90
2,3,1,1,354,91
2,3,1,3,354,92
2,3,1,2,354,93
2,3,1,3,354,94
2,3,1,3,354,95
2,3,1,3,354,96
2,3,1,1,354,97
2,3,1,4,354,98
2,3,1,2,354,99
2,4,1,-5,354,100
2,3,1,3,354,101
2,3,1,4,354,102
2,3,1,3,354,103
2,3,1,4,354,104
2,4,2,5,354,105
2,3,1,-3,354,106
2,3,1,-4,354,107
1,4,2,1,354,108
1,2,2,-1,354,109
1,2,2,0,354,110
1,4,2,1,354,111
1,4,2,2,354,112
1,2,2,-3,354,113
1,4,2,3,354,114
1,2,2,-4,354,115
1,2,2,-5,354,116
1,2,1,-1,354,117
1,2,1,2,354,118
1,2,1,1,354,119
1,2,1,-1,354,120
1,2,1,-3,354,121
1,2,1,0,354,122
1,2,1,-1,354,123
1,2,1,-1,354,124
1,2,1,3,354,125
1,2,1,5,354,126
1,4,2,0,354,127
1,2,1,5,354,128
1,2,1,4,354,129
1,2,1,4,354,130
1,2,1,1,354,131
1,2,1,2,354,132
1,2,1,1,354,133
1,4,2,3,354,134
1,2,1,3,354,135
1,2,1,3,354,136
1,2,1,5,354,137
1,2,1,4,354,138
1,4,2,-2,354,139
1,2,1,5,354,140
